id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	condition	mpn	brand	color	size	custom_label_3	custom_label_4	sales_count_conversions_10_days	vip_price	inventory_count	release_date	sales_count_conversions_1_day	parent_sku
SA2251076-0001-13700	12740218	"Looped Front Strap Sandal"	"FabKids Black female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals This is sure to become your kiddo's go-to sandal! The classic loop front design and easy on-off strap closure make it easily pairable with any outfit. Looped Front Strap Sandal"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-0001/SA2251076-0001_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-0001/SA2251076-0001_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-0001/SA2251076-0001_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-0001/SA2251076-0001_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D12740218&mpid=12740218	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2251076-0001-13700	FabKids	Black	07	283	"top performer"	860	$19.95	10125	02/26/2023	78	SA2251076-0001
SA2251076-1010-13700	12740269	"Looped Front Strap Sandal"	"FabKids White female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals This is sure to become your kiddo's go-to sandal! The classic loop front design and easy on-off strap closure make it easily pairable with any outfit. Looped Front Strap Sandal"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-1010/SA2251076-1010_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-1010/SA2251076-1010_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-1010/SA2251076-1010_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2251076-1010/SA2251076-1010_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D12740269&mpid=12740269	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2251076-1010-13700	FabKids	White	07	347	"top performer"	724	$19.95	13257	02/22/2023	73	SA2251076-1010
AT1938336-2681-13700	11922277	"Unicorn Bright Lace Up Sneaker"	"FabKids Black female Kids Fashion >> Girls >> Shoes >> Sneakers regular Low Top Sneakers/Sneakers The perfect play-all-day sneaker she can wear with anything. Features unicorns and rainbows- her favorite things! Cushioned insole for extra comfort and back pull-on loop for easy on and off. Sizes T5-12 have elastic laces. Unicorn Bright Lace Up Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2681/AT1938336-2681_main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2681/AT1938336-2681_alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2681/AT1938336-2681_back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D11922277&mpid=11922277	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		AT1938336-2681-13700	FabKids	Black	07	136	"top performer"	689	$19.95	5749	06/01/2021	68	AT1938336-2681
AT1938336-2208-13700	11922226	"Marble Unicorn Lace Up Sneaker"	"FabKids Multi female Kids Fashion >> Girls >> Shoes >> Sneakers regular Low Top Sneakers/Sneakers The perfect play-all-day sneaker she can wear with anything. Features unicorns and rainbows- her favorite things! Cushioned insole for extra comfort and back pull-on loop for easy on and off. Sizes T5-12 have elastic laces. Marble Unicorn Lace Up Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2208/AT1938336-2208_main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2208/AT1938336-2208_alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2208/AT1938336-2208_back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/AT1938336-2208/AT1938336-2208_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D11922226&mpid=11922226	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		AT1938336-2208-13700	FabKids	Multi	07	103	"top performer"	608	$22.95	6665	02/24/2023	43	AT1938336-2208
SA2354563-10908-64080	14126317	"Colorblock Active Strap Sandal"	"FabKids Multi female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals Stay bright on track with this colorful t-strap sandal. The super-comfy sole allows your kiddo to go on long adventures. Plus, your kid can get ready in a flash thanks to the easy on-off strap. Colorblock Active Strap Sandal"	$30		https://fabkids-us-cdn.justfab.com/media/images/products/SA2354563-10908/SA2354563-10908_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2354563-10908/SA2354563-10908_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354563-10908/SA2354563-10908_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354563-10908/SA2354563-10908_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14126317&mpid=14126317	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2354563-10908-64080	FabKids	Multi	6/7	171	"top performer"	462	$22.95	3345	02/10/2023	49	SA2354563-10908
SK2252821-7424-13700	13412665	"Lace Up Sneaker"	"FabKids Light Pink female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This is the ultimate everyday sneaker. Super light and comfy, they're also easy to get on and off and go with everything from playdate dresses to uniforms. Elastic laces for T5-12. Lace Up Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252821-7424/SK2252821-7424_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252821-7424/SK2252821-7424_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252821-7424/SK2252821-7424_Back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D13412665&mpid=13412665	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2252821-7424-13700	FabKids	"Light Pink"	07	169	"top performer"	429	$19.95	5589	06/10/2022	54	SK2252821-7424
SK2252892-3589-52170	13410802	"Slip On Sneaker"	"FabKids Black male Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This is the ultimate everyday sneaker. Super light and comfy, they're also easy to slip on and off. Pairs with everything from jeans to uniforms. Slip On Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252892-3589/SK2252892-3589_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252892-3589/SK2252892-3589_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252892-3589/SK2252892-3589_Back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D13410802&mpid=13410802	"in stock"	"Apparel & Accessories > Shoes > Slip Ons"		SK2252892-3589-52170	FabKids	Black	07	50	"top performer"	408	$19.95	1876	06/10/2022	39	SK2252892-3589
SK2252820-5792-13600	14126035	"Cheetah Lace Up Sneaker"	"FabKids Tan female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers The perfect all-day, everyday sneaker. Features a chic cheetah print that pairs with anything. Cushioned insole for comfort and back pull-on loop for easy on-off. Sizes T5-12 have elastic laces. Cheetah Lace Up Sneaker"	$26		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5792/SK2252820-5792_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5792/SK2252820-5792_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5792/SK2252820-5792_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5792/SK2252820-5792_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14126035&mpid=14126035	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2252820-5792-13600	FabKids	Tan	06	5	"top performer"	402	$22.95	348	01/10/2023	50	SK2252820-5792
SK2252821-3589-13700	13412614	"Lace Up Sneaker"	"FabKids Classic Black female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This is the ultimate everyday sneaker. Super light and comfy, they're also easy to get on and off and go with everything from playdate dresses to uniforms. Elastic laces for T5-12. Lace Up Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252821-3589/SK2252821-3589_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252821-3589/SK2252821-3589_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252821-3589/SK2252821-3589_Back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D13412614&mpid=13412614	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2252821-3589-13700	FabKids	"Classic Black"	07	187	"top performer"	399	$19.95	5908	02/10/2022	23	SK2252821-3589
SK2043024-1982-13700	11923807	"Leopard Heart Sneaker"	"FabKids Heart Grey female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers The perfect all-day, every day sneaker. Features a leopard-inspired heart print she can wear with anything. Cushioned insole for comfort and back pull-on loop for easy on-off. Sizes T5-12 have elastic laces. Leopard Heart Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SK2043024-1982/SK2043024-1982_main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2043024-1982/SK2043024-1982_alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2043024-1982/SK2043024-1982_back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2043024-1982/SK2043024-1982_side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D11923807&mpid=11923807	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2043024-1982-13700	FabKids	"Heart Grey"	07	89	"top performer"	370	$22.95	4275	06/10/2021	19	SK2043024-1982
