id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	material	pattern	custom_label_1	inventory_count	is_bundle	release_date	sales_count_conversions_10_days	Sale_Price_Leggings	shorter_mpn	top_Sellers	transparent_additional_image_link_1	transparent_additional_image_link_2	transparent_additional_image_link_3	transparent_additional_image_link_4	transparent_additional_image_link_5	Activity	product_id	transparent_image_link_1	transparent_image_link_2	catwalk_video	curalate_image_url_1	curalate_inage_url_2	curalate_image_url_3	curalate_image_url_4	membership_exclusive	ScarcityMessage	Product_review_average	Product_review_average_version	Product_rating_stars
LG1935348-4899	9673222	"Legging 7/8 de cintura alta PureLuxe Oasis  Fabletics"	" Legging ligero, elástico y transpirable, con el largo perfecto a la altura del tobillo. De tacto suave y con bolsillos"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-2_998x1498.jpg"	https://www.fabletics.es/products/9673222?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG1935348-4899-17040	Fabletics	Azul	M	female	adult	PureLuxe		"9673222 No"	123	No	27/06/2023	5	"2 for £24"		5						"Yoga and Studio"	9673234	https://us-cdn.justfab.com/media/images/acquisition/_fabletics_acqu/static/smartly/2020/01/Jan_Full/LG1935348-4899.png	https://us-cdn.justfab.com/media/images/acquisition/_fabletics_acqu/static/smartly/2020/01/Jan_Zoom/LG1935348-4899.png						No	123	4.6859903381643	4.6859903381643	&#9733;&#9733;&#9733;&#9733;
PT2149968-1789	12581851	"Jogger de terciopelo Daria Fabletics"	" Con bolsillos"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-5_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149968-1789/PT2149968-1789-2_998x1498.jpg"	https://www.fabletics.es/products/12581851?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Pants & Joggers >> Joggers"	204	new	PT2149968-1789-17040	Fabletics	Naranja	M	female	adult			"12581851 No"	11	No	01/12/2021	2	"2 for £24"		2						Everyday	12581863								No	"Últimas unidades"	4	4	&#9733;&#9733;&#9733;&#9733;
LG2251352-7320	12980056	"Legging de cintura alta Motion365® Trinity  Fabletics"	" Muy versátil y de tacto sedoso"	"62.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-2_998x1498.jpg"	https://www.fabletics.es/products/12980056?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> Full Length"	204	new	LG2251352-7320-39050	Fabletics	Violeta	L	female	adult	Motion365		"12980056 No"	25	No	27/06/2023	2	"2 for £24"		2						Training	12980101								No	"Últimas unidades"	4.7278106508876	4.7278106508876	&#9733;&#9733;&#9733;&#9733;
SO2148683-3718	13121611	"Short 15 cm de cintura alta PureLuxe Oasis  Fabletics"	" El short más suave que vas a tener"	"39.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/SO2148683-3718/SO2148683-3718-2_998x1498.jpg"	https://www.fabletics.es/products/13121611?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Shorts"	207	new	SO2148683-3718-17030	Fabletics	Verde	S	female	adult	PureLuxe		"13121611 No"	56	No	27/06/2023	2	"2 for £24"		2							13121620								No	56	4.8253968253968	4.8253968253968	&#9733;&#9733;&#9733;&#9733;&#9733;
PT2250809-4334	13474651	"Pantalón de chándal clásico Eco Go-To  Fabletics"	" Estilo clásico confeccionado en tejido de felpa reciclado"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/PT2149761-4334/PT2149761-4334-2_998x1498.jpg"	https://www.fabletics.es/products/13474651?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Pants & Joggers >> Joggers"	204	new	PT2250809-4334-39050	Fabletics	Gray	L	female	adult	Fleece		"13474651 No"	60	No	28/09/2022	2	"2 for £24"		2						Lounge	13474696								No	60	4.7530864197531	4.7530864197531	&#9733;&#9733;&#9733;&#9733;&#9733;
LG1935348-6810	9983140	"Legging 7/8 de cintura alta PureLuxe Oasis  Fabletics"	" Legging ligero, elástico y transpirable, con el largo perfecto a la altura del tobillo. De tacto suave y con bolsillos"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-2_998x1498.jpg"	https://www.fabletics.es/products/9983140?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG1935348-6810-17030	Fabletics	Violeta	S	female	adult	PureLuxe		"9983140 No"	20	No	27/06/2023	2	"2 for £24"		2						"Yoga and Studio"	9983149								No	"Últimas unidades"	4.6859903381643	4.6859903381643	&#9733;&#9733;&#9733;&#9733;
LG1938756-6167	10676791	"Legging 7/8 Ultracool de tiro medio con paneles brillantes Fabletics"	"Legging 7/8 Ultracool de tiro medio con paneles brillantes Fabletics"	"59.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG1938756-6167/LG1938756-6167-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG1938756-6167/LG1938756-6167-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1938756-6167/LG1938756-6167-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1938756-6167/LG1938756-6167-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1938756-6167/LG1938756-6167-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1938756-6167/LG1938756-6167-2_998x1498.jpg"	https://www.fabletics.es/products/10676791?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG1938756-6167-17050	Fabletics	Rosa	L	female	adult			"10676791 No"	12	No	31/08/2020	1	"2 for £24"		1						Running/Training	10676806	https://us-cdn.justfab.com/media/images/acquisition/_fabletics_acqu/static/smartly/2020/08/FullBottoms/LG1938756-6167.png	https://us-cdn.justfab.com/media/images/acquisition/_fabletics_acqu/static/smartly/2020/08/ZoomBottoms/LG1938756-6167.png						No	"Últimas unidades"	4.9166666666667	4.9166666666667	&#9733;&#9733;&#9733;&#9733;&#9733;
LG2045693-6400	11089876	"Legging 7/8 de cintura alta con bolsillos Motion365 Fabletics"	"Legging 7/8 de cintura alta con bolsillos Motion365 Fabletics"	"59.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2045693-6400/LG2045693-6400-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2045693-6400/LG2045693-6400-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2045693-6400/LG2045693-6400-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2045693-6400/LG2045693-6400-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2045693-6400/LG2045693-6400-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2045693-6400/LG2045693-6400-2_998x1498.jpg"	https://www.fabletics.es/products/11089876?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG2045693-6400-17040	Fabletics	Rojo	M	female	adult	Motion365		"11089876 No"	80	No	30/11/2020	1	"2 for £24"		1							11089888								No	80	4.9583333333333	4.9583333333333	&#9733;&#9733;&#9733;&#9733;&#9733;
LG2147610-7341	11540788	"Legging 7/8 de cintura alta PureLuxe Oasis Shine Fabletics"	" De tacto suave y con bolsillos"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147610-7341/LG2147610-7341-2_998x1498.jpg"	https://www.fabletics.es/products/11540788?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG2147610-7341-17050	Fabletics	Amarillo	L	female	adult			"11540788 No"	14	No	31/03/2021	1	"2 for £24"		1						"Everyday/Training/Yoga and Studio"	11540803								No	"Últimas unidades"	5	5	&#9733;&#9733;&#9733;&#9733;&#9733;
LG2147339-9055	11542456	"Legging Seamless de cintura alta Jacquard Fabletics"	"Legging Seamless de cintura alta Jacquard Fabletics"	"44.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147339-9055/LG2147339-9055-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147339-9055/LG2147339-9055-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147339-9055/LG2147339-9055-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147339-9055/LG2147339-9055-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147339-9055/LG2147339-9055-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147339-9055/LG2147339-9055-2_998x1498.jpg"	https://www.fabletics.es/products/11542456?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> Full Length"	204	new	LG2147339-9055-17040	Fabletics	"Dark Paste/Golden"	M	female	adult	Seamless		"11542456 No"	27	No	31/03/2021	1	"2 for £24"		1						"Yoga and Studio"	11542480								No	"Últimas unidades"	5	5	&#9733;&#9733;&#9733;&#9733;&#9733;
