id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	material	pattern	custom_label_1	inventory_count	is_bundle	release_date	sales_count_conversions_10_days	Sale_Price_Leggings	shorter_mpn	top_Sellers	transparent_additional_image_link_1	transparent_additional_image_link_2	transparent_additional_image_link_3	transparent_additional_image_link_4	transparent_additional_image_link_5	Activity	product_id	transparent_image_link_1	transparent_image_link_2	catwalk_video	curalate_image_url_1	curalate_inage_url_2	curalate_image_url_3	curalate_image_url_4	membership_exclusive	ScarcityMessage	Product_review_average	Product_review_average_version	Product_rating_stars
LG1935348-4899	9671125	"Legging 7/8 taille haute PureLuxe Oasis Fabletics"	"Legging 7/8 taille haute PureLuxe Oasis Fabletics"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-2_998x1498.jpg"	https://www.fabletics.fr/products/9671125?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG1935348-4899-17040	Fabletics	Bleu	M	female	adult	PureLuxe		"9671125 No"	123	No	27/06/2023	20	"2 for £24"		20						"Yoga and Studio"	9671137	https://us-cdn.justfab.com/media/images/acquisition/_fabletics_acqu/static/smartly/2020/01/Jan_Full/LG1935348-4899.png	https://us-cdn.justfab.com/media/images/acquisition/_fabletics_acqu/static/smartly/2020/01/Jan_Zoom/LG1935348-4899.png							123	4.6896235078053	4.6896235078053	&#9733;&#9733;&#9733;&#9733;
LG1935348-6810	9980788	"Legging 7/8 taille haute PureLuxe Oasis Fabletics"	"Legging 7/8 taille haute PureLuxe Oasis Fabletics"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-6810/LG1935348-6810-2_998x1498.jpg"	https://www.fabletics.fr/products/9980788?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG1935348-6810-17030	Fabletics	Violet	S	female	adult	PureLuxe		"9980788 No"	20	No	27/06/2023	6	"2 for £24"		6						"Yoga and Studio"	9980797									"Stock limité"	4.6896235078053	4.6896235078053	&#9733;&#9733;&#9733;&#9733;
LG2251352-7320	12975091	"Legging taille haute Motion365® Trinity  Fabletics"	"Legging taille haute Motion365® Trinity  Fabletics"	"62.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251350-7320/LG2251350-7320-2_998x1498.jpg"	https://www.fabletics.fr/products/12975091?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> Full Length"	204	new	LG2251352-7320-39050	Fabletics	Violet	L	female	adult	Motion365		"12975091 No"	25	No	27/06/2023	4	"2 for £24"		4						Training	12975136									"Stock limité"	4.636684303351	4.636684303351	&#9733;&#9733;&#9733;&#9733;
LG1935348-7937	12976411	"Legging 7/8 taille haute PureLuxe Oasis  Fabletics"	"Legging 7/8 taille haute PureLuxe Oasis  Fabletics"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-7937/LG1935348-7937-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-7937/LG1935348-7937-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-7937/LG1935348-7937-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-7937/LG1935348-7937-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-7937/LG1935348-7937-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG1935348-7937/LG1935348-7937-2_998x1498.jpg"	https://www.fabletics.fr/products/12976411?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG1935348-7937-17050	Fabletics	Rose	L	female	adult	PureLuxe		"12976411 No"	72	No	26/04/2023	4	"2 for £24"		4						"Yoga and Studio"	12976426									72	4.6896235078053	4.6896235078053	&#9733;&#9733;&#9733;&#9733;
LG2146154-4648	13466923	"Legging 7/8 taille haute PowerHold® Boost Fabletics"	"Legging 7/8 taille haute PowerHold® Boost Fabletics"	"59.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-5_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2146154-4648/LG2146154-4648-2_998x1498.jpg"	https://www.fabletics.fr/products/13466923?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG2146154-4648-17050	Fabletics	Spotted/Black	L	female	adult	PowerHold		"13466923 No"	85	No	21/11/2022	4	"2 for £24"		4						Training	13466938									85	4.7270114942529	4.7270114942529	&#9733;&#9733;&#9733;&#9733;
LG2254001-1404	14137099	"Legging taille haute Define PowerHold® Fabletics"	"Legging taille haute Define PowerHold® Fabletics"	"52.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-5_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2253936-1404/LG2253936-1404-2_998x1498.jpg"	https://www.fabletics.fr/products/14137099?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> Full Length"	204	new	LG2254001-1404-38030	Fabletics	Blanc	S	female	adult	PowerHold		"14137099 No"	66	No	25/05/2023	4	"2 for £24"		4						Training	14137120									66	5	5	&#9733;&#9733;&#9733;&#9733;&#9733;
LG2251386-9101	14373055	"Legging 7/8 Oasis PureLuxe Hw Crossover Fabletics"	"Legging 7/8 Oasis PureLuxe Hw Crossover Fabletics"	"59.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2251386-9101/LG2251386-9101-2_998x1498.jpg"	https://www.fabletics.fr/products/14373055?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG2251386-9101-17050	Fabletics	Jaune	L	female	adult	PureLuxe		"14373055 No"	11	No	27/02/2023	4	"2 for £24"		4						"Yoga and Studio"	14373070									"Stock limité"	4.6363636363636	4.6363636363636	&#9733;&#9733;&#9733;&#9733;
LG2043113-8118	14645332	"Legging 7/8 taille haute Boost PowerHold® Fabletics"	"Legging 7/8 taille haute Boost PowerHold® Fabletics"	"54.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-5_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2043113-8118/LG2043113-8118-2_998x1498.jpg"	https://www.fabletics.fr/products/14645332?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG2043113-8118-17030	Fabletics	Orange	S	female	adult			"14645332 No"	112	No	27/04/2023	4	"2 for £24"		4						Training	14645341									112	4.7270114942529	4.7270114942529	&#9733;&#9733;&#9733;&#9733;
CS1719629-3189	11290216	"Legging 7/8 taille haute PowerHold® Define  Fabletics"	" Matière flatteuse offrant une compression optimale et dotée d'une poche latérale pour le téléphone"	"49.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/CS1719629-3189/CS1719629-3189-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/CS1719629-3189/CS1719629-3189-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/CS1719629-3189/CS1719629-3189-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/CS1719629-3189/CS1719629-3189-2_998x1498.jpg"	https://www.fabletics.fr/products/11290216?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	CS1719629-3189-17050	Fabletics	Vert	L	female	adult	PowerHold		"11290216 No"	284	No	29/09/2021	3	"2 for £24"		3						Training	11290231									284	4.6296296296296	4.6296296296296	&#9733;&#9733;&#9733;&#9733;
LG2147492-8042	11654377	"Legging 7/8 taille haute PureLuxe Oasis Crossover Fabletics"	"Legging 7/8 taille haute PureLuxe Oasis Crossover Fabletics"	"59.95 €"	"12 €"	https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-1_998x1498.jpg	"https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-4_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-3_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-2_998x1498.jpg https://fabletics-eu-cdn.justfab.com/media/images/products/LG2147492-8042/LG2147492-8042-2_998x1498.jpg"	https://www.fabletics.fr/products/11654377?utm_source=ProductFeed&utm_medium=ProductFeed&channel=ProductFeed	"in stock"	"Activewear >> Womens >> Bottoms >> Leggings >> 7/8s"	204	new	LG2147492-8042-17050	Fabletics	Orange	L	female	adult	PureLuxe		"11654377 No"	250	No	26/04/2023	3	"2 for £24"		3						"Yoga and Studio"	11654392									250	4.6363636363636	4.6363636363636	&#9733;&#9733;&#9733;&#9733;
