id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	base_sku	release_date
SO2357814-8917-15060	15264715	"The Fundamental Short II Lined 7in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2357814-8917/SO2357814-8917-1_998x1498.jpg	"https://www.fabletics.com/products/15264715?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2357814-8917/SO2357814-8917-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2357814-8917/SO2357814-8917-4_998x1498.jpg	1296	SO2357814-8917	295			53	15264715	SO2357814-8917	1	SO2357814	2023/08/18
FM230876-00	15191595	"The Stride 2-Piece Set"	$119.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230876/FM230876-1_998x1498.jpg	"https://www.fabletics.com/products/15336865?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230876/FM230876-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230876/FM230876-4_998x1498.jpg	631	FM230876	35		https://fabletics-us-cdn.justfab.com/media/images/products/FM230876/FM230876-5_998x1498.jpg	2	15191595	FM230876	1		2023/08/17
FM230875-00	15190575	"The Adapt Pro 2-Piece Set"	$109.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230875/FM230875-1_998x1498.jpg	"https://www.fabletics.com/products/15336855?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230875/FM230875-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230875/FM230875-4_998x1498.jpg	227	FM230875	3		https://fabletics-us-cdn.justfab.com/media/images/products/FM230875/FM230875-5_998x1498.jpg	0	15190575	FM230875	1		2023/08/16
FM230874-00	15191730	"The Track Star 2-Piece Set"	$114.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230874/FM230874-1_998x1498.jpg	"https://www.fabletics.com/products/15336850?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230874/FM230874-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230874/FM230874-4_998x1498.jpg	26	FM230874	5		https://fabletics-us-cdn.justfab.com/media/images/products/FM230874/FM230874-5_998x1498.jpg	0	15191730	FM230874	1		2023/08/16
LC2356869-3570-17070	15212720	"Axis Long Lab Coat"	$99.95		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356869-3570/LC2356869-3570-1_998x1498.jpg	"https://www.fabletics.com/products/15212720?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Lab Coats"	"Fabletics 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356869-3570/LC2356869-3570-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LC2356869-3570/LC2356869-3570-4_998x1498.jpg	431	LC2356869-3570	43		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356869-3570/LC2356869-3570-5_998x1498.jpg	10	15212720	LC2356869-3570	1	LC2356869	2023/08/16
LC2356870-3570-17070	15212775	"Axis Short Lab Coat"	$99.95		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356870-3570/LC2356870-3570-1_998x1498.jpg	"https://www.fabletics.com/products/15212775?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Lab Coats"	"Fabletics 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356870-3570/LC2356870-3570-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LC2356870-3570/LC2356870-3570-4_998x1498.jpg	503	LC2356870-3570	15		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356870-3570/LC2356870-3570-5_998x1498.jpg	3	15212775	LC2356870-3570	1	LC2356870	2023/08/16
LC2356867-3570-15060	15212830	"Element Long Lab Coat"	$99.95		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356867-3570/LC2356867-3570-1_998x1498.jpg	"https://www.fabletics.com/products/15212830?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Lab Coats"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356867-3570/LC2356867-3570-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LC2356867-3570/LC2356867-3570-4_998x1498.jpg	275	LC2356867-3570	8		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356867-3570/LC2356867-3570-5_998x1498.jpg	2	15212830	LC2356867-3570	1	LC2356867	2023/08/16
LC2356868-3570-15060	15212880	"Element Short Lab Coat"	$99.95		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356868-3570/LC2356868-3570-1_998x1498.jpg	"https://www.fabletics.com/products/15212880?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Lab Coats"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356868-3570/LC2356868-3570-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LC2356868-3570/LC2356868-3570-4_998x1498.jpg	303	LC2356868-3570	5		https://fabletics-us-cdn.justfab.com/media/images/products/LC2356868-3570/LC2356868-3570-5_998x1498.jpg	2	15212880	LC2356868-3570	1	LC2356868	2023/08/16
SO2252995-6932-15060	15324135	"The Fundamental Short II Lined 7in"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2252995-6932/SO2252995-6932-1_998x1498.jpg	"https://www.fabletics.com/products/15324135?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2252995-6932/SO2252995-6932-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2252995-6932/SO2252995-6932-4_998x1498.jpg	4456	SO2252995-6932	136		https://fabletics-us-cdn.justfab.com/media/images/products/SO2252995-6932/SO2252995-6932-5_998x1498.jpg	34	15324135	SO2252995-6932	1	SO2252995	2023/08/16
SO2253047-7714-15060	15332475	"The One Short Lined 5in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2253047-7714/SO2253047-7714-1_998x1498.jpg	"https://www.fabletics.com/products/15332475?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2253047-7714/SO2253047-7714-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2253047-7714/SO2253047-7714-4_998x1498.jpg	1440	SO2253047-7714	200		https://fabletics-us-cdn.justfab.com/media/images/products/SO2253047-7714/SO2253047-7714-5_998x1498.jpg	20	15332475	SO2253047-7714	1	SO2253047	2023/08/16
