id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	release_date	parent_sku
CS1719629-0001-17070	4129264	"Define PowerHold® High-Waisted 7/8 Legging"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/CS1719629-0001/CS1719629-0001-1_998x1498.jpg	"https://www.fabletics.com/products/4129264?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	https://d28m5bx785ox17.cloudfront.net/v1/img/-08NuJZUiRQpt5Yo2k6lOyYk09AfTdh2m45E8W3LbtU=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1719629-0001/CS1719629-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1719629-0001/CS1719629-0001-4_998x1498.jpg	101734	CS1719629-0001	2564			413	4129264	01/09/2023	CS1719629-0001
LG1935348-0001-17070	8677720	"Oasis PureLuxe High-Waisted 7/8 Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-0001/LG1935348-0001-1_998x1498.jpg	"https://www.fabletics.com/products/8677720?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	https://d28m5bx785ox17.cloudfront.net/v1/img/24RhZb6o70sg5nfC9_hXkMtDwBxYmNFCge1DOX4n_Vg=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-0001/LG1935348-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-0001/LG1935348-0001-4_998x1498.jpg	115235	LG1935348-0001	2487			408	8677720	01/09/2023	LG1935348-0001
LG2354638-0001-39070	14199532	"Anywhere Motion365+ High-Waisted Utility Legging"	$79.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354562-0001/LG2354562-0001-1_998x1498.jpg	"https://www.fabletics.com/products/14199532?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354562-0001/LG2354562-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2354562-0001/LG2354562-0001-4_998x1498.jpg	24959	LG2354638-0001	2161		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354562-0001/LG2354562-0001-5_998x1498.jpg	303	14199532	01/31/2023	LG2354638-0001
LG1937948-0001-39070	9521446	"On-The-Go PowerHold® High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-1_998x1498.jpg	"https://www.fabletics.com/products/9521446?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	https://d28m5bx785ox17.cloudfront.net/v1/img/07GR3HHfkPVDlC2Z1VgYV6KhbsTOLKPZPIkwF-kYmHo=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-4_998x1498.jpg	109665	LG1937948-0001	1799		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-5_998x1498.jpg	266	9521446	01/09/2023	LG1937948-0001
PT1617847-0001-39070	4610596	"Define PowerHold® High-Waisted Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/PT1617843-0001/PT1617843-0001-1_998x1498.jpg	"https://www.fabletics.com/products/4610596?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	https://d28m5bx785ox17.cloudfront.net/v1/img/-G3vvnFeRGrIn_Vb8KVdqxkiq7CuxRzcPkD9BFM9VXc=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/PT1617843-0001/PT1617843-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/PT1617843-0001/PT1617843-0001-4_998x1498.jpg	115622	PT1617847-0001	1744			276	4610596	01/09/2023	PT1617847-0001
LG2041752-0001-39070	9909376	"Oasis PureLuxe High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2041749-0001/LG2041749-0001-1_998x1498.jpg	"https://www.fabletics.com/products/9909376?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2041749-0001/LG2041749-0001-3_998x1498.jpg		87292	LG2041752-0001	1511			183	9909376	01/09/2023	LG2041752-0001
LG2354333-0001-39070	14039017	"Anywhere Motion365+ High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354331-0001/LG2354331-0001-1_998x1498.jpg	"https://www.fabletics.com/products/14039017?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354331-0001/LG2354331-0001-3_998x1498.jpg		10453	LG2354333-0001	1484			158	14039017	01/09/2023	LG2354333-0001
LG1935348-6932-17070	14754721	"Oasis PureLuxe High-Waisted 7/8 Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-6932/LG1935348-6932-1_998x1498.jpg	"https://www.fabletics.com/products/14754721?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-6932/LG1935348-6932-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-6932/LG1935348-6932-4_998x1498.jpg	1292	LG1935348-6932	945			134	14754721	07/28/2023	LG1935348-6932
LG2251354-7575-17070	15200765	"Oasis PureLuxe HW Crossover 7/8 Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2251354-7575/LG2251354-7575-1_998x1498.jpg	"https://www.fabletics.com/products/15200765?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2251354-7575/LG2251354-7575-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2251354-7575/LG2251354-7575-4_998x1498.jpg	1582	LG2251354-7575	730			113	15200765	07/20/2023	LG2251354-7575
LG2354333-4846-39070	14739400	"Anywhere Motion365+ High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354331-4846/LG2354331-4846-1_998x1498.jpg	"https://www.fabletics.com/products/14739400?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354331-4846/LG2354331-4846-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2354331-4846/LG2354331-4846-4_998x1498.jpg	3260	LG2354333-4846	713		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354331-4846/LG2354331-4846-5_998x1498.jpg	113	14739400	06/15/2023	LG2354333-4846
