id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	release_date	parent_sku
PT1617847-0001-39070	4610596	"Define PowerHold® High-Waisted Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/PT1617843-0001/PT1617843-0001-1_998x1498.jpg	"https://www.fabletics.com/products/4610596?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	https://d28m5bx785ox17.cloudfront.net/v1/img/-G3vvnFeRGrIn_Vb8KVdqxkiq7CuxRzcPkD9BFM9VXc=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/PT1617843-0001/PT1617843-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/PT1617843-0001/PT1617843-0001-4_998x1498.jpg	115622	PT1617847-0001	1744			276	4610596	01/09/2023	PT1617847-0001
LG1935348-0001-17070	8677720	"Oasis PureLuxe High-Waisted 7/8 Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-0001/LG1935348-0001-1_998x1498.jpg	"https://www.fabletics.com/products/8677720?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	https://d28m5bx785ox17.cloudfront.net/v1/img/24RhZb6o70sg5nfC9_hXkMtDwBxYmNFCge1DOX4n_Vg=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-0001/LG1935348-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-0001/LG1935348-0001-4_998x1498.jpg	115235	LG1935348-0001	2487			408	8677720	01/09/2023	LG1935348-0001
LG1937948-0001-39070	9521446	"On-The-Go PowerHold® High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-1_998x1498.jpg	"https://www.fabletics.com/products/9521446?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	https://d28m5bx785ox17.cloudfront.net/v1/img/07GR3HHfkPVDlC2Z1VgYV6KhbsTOLKPZPIkwF-kYmHo=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-4_998x1498.jpg	109665	LG1937948-0001	1799		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-0001/LG1937944-0001-5_998x1498.jpg	266	9521446	01/09/2023	LG1937948-0001
CS1719629-0001-17070	4129264	"Define PowerHold® High-Waisted 7/8 Legging"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/CS1719629-0001/CS1719629-0001-1_998x1498.jpg	"https://www.fabletics.com/products/4129264?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	https://d28m5bx785ox17.cloudfront.net/v1/img/-08NuJZUiRQpt5Yo2k6lOyYk09AfTdh2m45E8W3LbtU=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1719629-0001/CS1719629-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1719629-0001/CS1719629-0001-4_998x1498.jpg	101734	CS1719629-0001	2564			413	4129264	01/09/2023	CS1719629-0001
LG2041752-0001-39070	9909376	"Oasis PureLuxe High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2041749-0001/LG2041749-0001-1_998x1498.jpg	"https://www.fabletics.com/products/9909376?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2041749-0001/LG2041749-0001-3_998x1498.jpg		87292	LG2041752-0001	1511			183	9909376	01/09/2023	LG2041752-0001
LG2354648-0001-39070	14199997	"Motion365+ High-Waisted Moto Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354645-0001/LG2354645-0001-1_998x1498.jpg	"https://www.fabletics.com/products/14199997?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354645-0001/LG2354645-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2354645-0001/LG2354645-0001-4_998x1498.jpg	47757	LG2354648-0001	451		https://fabletics-us-cdn.justfab.com/media/images/products/LG2354645-0001/LG2354645-0001-5_998x1498.jpg	73	14199997	01/31/2023	LG2354648-0001
LG1936614-0001-17070	9769471	"PureLuxe High-Waisted Maternity 7/8 Legging"	$79.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1936614-0001/LG1936614-0001-1_998x1498.jpg	"https://www.fabletics.com/products/9769471?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	https://d28m5bx785ox17.cloudfront.net/v1/img/-s_TIUrL3mxPrgEIiHHZhfUdava_9kHI940CCSNs2ow=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1936614-0001/LG1936614-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1936614-0001/LG1936614-0001-4_998x1498.jpg	38406	LG1936614-0001	217			40	9769471	04/26/2023	LG1936614-0001
LG2045798-0001-39070	10643782	"Therma-Flex High-Waisted Pocket Legging"	$89.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2045796-0001/LG2045796-0001-1_998x1498.jpg	"https://www.fabletics.com/products/10643782?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2045796-0001/LG2045796-0001-3_998x1498.jpg		28306	LG2045798-0001	143			28	10643782	10/13/2022	LG2045798-0001
LG2252153-1855-50820	13327939	"Headliner Shaping High Waist Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-1855/yitty_LG2252153-1855-1_998x1498.jpg	"https://yitty.fabletics.com/products/13327939?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-1855/yitty_LG2252153-1855-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-1855/yitty_LG2252153-1855-4_998x1498.jpg	26174	LG2252153-1855	18		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252153-1855/yitty_LG2252153-1855-5_998x1498.jpg	2	13327939	05/31/2022	LG2252153-1855
LG1935348-4899-17070	9522040	"Oasis PureLuxe High-Waisted 7/8 Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-1_998x1498.jpg	"https://www.fabletics.com/products/9522040?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1935348-4899/LG1935348-4899-3_998x1498.jpg		25717	LG1935348-4899	458			74	9522040	01/09/2023	LG1935348-4899
