id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	release_date
YT230902-00	13327939	"Iconic Black Essentials 2-Piece Set"	$149.9		https://fabletics-us-cdn.justfab.com/media/images/products/YT230902/yitty_YT230902-1_998x1498.jpg	"https://yitty.fabletics.com/products/15496670?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Outfits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/YT230902/yitty_YT230902-3_998x1498.jpg		26174	YT230902	0			0	13327939	YT230902	2	2023/08/29
YT230860-00	13328056	"Center Stage 2-Piece Set"	$144.9		https://fabletics-us-cdn.justfab.com/media/images/products/YT230860/yitty_YT230860-1_998x1498.jpg	"https://yitty.fabletics.com/products/15513325?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Outfits"	Fabletics				9351	YT230860	0			0	13328056	YT230860	2	2023/08/29
YT230769-00	13729708	"Major Maven 2-Piece Set"	$119.9		https://fabletics-us-cdn.justfab.com/media/images/products/YT230769/yitty_YT230769-1_998x1498.jpg	"https://yitty.fabletics.com/products/15365145?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Outfits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/YT230769/yitty_YT230769-3_998x1498.jpg		15356	YT230769	0			0	13729708	YT230769	2	2023/08/29
YT230862-00	14761954	"Street Style 2-Piece Set"	$134.9		https://fabletics-us-cdn.justfab.com/media/images/products/YT230862/yitty_YT230862-1_998x1498.jpg	"https://yitty.fabletics.com/products/15513335?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Outfits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/YT230862/yitty_YT230862-3_998x1498.jpg		1370	YT230862	0			0	14761954	YT230862	2	2023/08/29
LS2253601-4317-50790	15503020	"Major Label Oversized Hoodie"	$89.95		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4317/yitty_LS2253601-4317-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/15503020?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Sweatshirts > Hoodies"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4317/yitty_LS2253601-4317-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4317/yitty_LS2253601-4317-4_998x1498-plus.jpg	2795	LS2253601-4317	3		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4317/yitty_LS2253601-4317-5_998x1498-plus.jpg	2	15503020	LS2253601-4317	2	2023/08/29
LS2253601-7636-50760	15503080	"Major Label Oversized Hoodie"	$89.95		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-7636/yitty_LS2253601-7636-1_998x1498.jpg	"https://yitty.fabletics.com/products/15503080?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Sweatshirts > Hoodies"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-7636/yitty_LS2253601-7636-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-7636/yitty_LS2253601-7636-4_998x1498.jpg	2770	LS2253601-7636	2		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-7636/yitty_LS2253601-7636-5_998x1498.jpg	1	15503080	LS2253601-7636	2	2023/08/29
LS2253601-4973-50820	15503140	"Major Label Oversized Hoodie"	$89.95		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4973/yitty_LS2253601-4973-1_998x1498.jpg	"https://yitty.fabletics.com/products/15503140?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Sweatshirts > Hoodies"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4973/yitty_LS2253601-4973-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4973/yitty_LS2253601-4973-4_998x1498.jpg	1496	LS2253601-4973	3		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-4973/yitty_LS2253601-4973-5_998x1498.jpg	2	15503140	LS2253601-4973	2	2023/08/29
LS2253601-3560-50810	14019922	"Major Label Oversized Hoodie"	$89.95		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-3560/yitty_LS2253601-3560-1_998x1498.jpg	"https://yitty.fabletics.com/products/14019922?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Sweatshirts > Hoodies"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-3560/yitty_LS2253601-3560-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-3560/yitty_LS2253601-3560-4_998x1498.jpg	7123	LS2253601-3560	10		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-3560/yitty_LS2253601-3560-5_998x1498.jpg	0	14019922	LS2253601-3560	2	2023/08/14
LS2253601-1855-50820	14019961	"Major Label Oversized Hoodie"	$89.95		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-1855/yitty_LS2253601-1855-1_998x1498.jpg	"https://yitty.fabletics.com/products/14019961?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Sweatshirts > Hoodies"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-1855/yitty_LS2253601-1855-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-1855/yitty_LS2253601-1855-4_998x1498.jpg	5005	LS2253601-1855	29		https://fabletics-us-cdn.justfab.com/media/images/products/LS2253601-1855/yitty_LS2253601-1855-5_998x1498.jpg	3	14019961	LS2253601-1855	2	2023/08/14
LG2252695-7636-50780	15502780	"Major Label Shaping High Waist Logo Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-7636/yitty_LG2252695-7636-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/15502780?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-7636/yitty_LG2252695-7636-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-7636/yitty_LG2252695-7636-4_998x1498-plus.jpg	1697	LG2252695-7636	1		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-7636/yitty_LG2252695-7636-5_998x1498-plus.jpg	1	15502780	LG2252695-7636	2	2023/08/14
