id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	top_sellers	additionnal_image_link__1	additionnal_image_link__2	inventory_count	catwalk_video	release_date	additional_image_link_3	additional_image_link_4	transparent_additional_image_link_1	transparent_additional_image_link_2	transparent_additional_image_link_3	transparent_additional_image_link_4	transparent_additional_image_link_5	short_description	medium_description	curulate_image_url_1	curulate_image_url_2	scarcitymessage	sales_count_conversions_10_days
DA2041118-0001-81100	9729187	Lorelai	" Composition : simili daim Hauteur talon approx. : 10,16 cm Taille plus ample au niveau du talon, de la semelle et cou-de-pied larges Disponible en modèle large Léger rembourrage Les dimensions peuvent légèrement varier Importées"	"29.95 €"	"7.49 €"	https://jf-eu-cdn.justfab.com/image/product/DA2040125-0001/DA2040125-0001-1_589x860.jpg	https://www.justfab.fr/products/Lorelai-Block-Heeled-Sandal-DA2040125-0001	"in stock"	"Fashion >> Shoes >> Sandals >> Dress + Ankle Strap"	187	new	DA2041118-0001-81100	JustFab	Noir	41	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/DA2040125-0001/DA2040125-0001-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA2040125-0001/DA2040125-0001-3_589x860.jpg	16	http://us-cdn.justfab.com/media/video/products/DA2040125-0001/DA2040125-0001.mp4	06/04/2021	https://jf-eu-cdn.justfab.com/image/product/DA2040125-0001/DA2040125-0001-4_589x860.jpg								" Composition : simili daim Hauteur talon approx. : 10,16 cm Taille plus ample au niveau du talon, de la semelle et cou-de-pied larges Disponible en modèle large Léger rembourrage Les dimensions peuvent légèrement varier Importées "			"Quantité limitée"	182
DA2042941-1010-83120	10347451	"Sandales À Talons Dimona"	" Composition : simili cuir Hauteur talon approx. : 8,89 cm Les dimensions peuvent légèrement varier Article importé"	"39.95 €"	"9.99 €"	https://jf-eu-cdn.justfab.com/image/product/DA2042941-1010/DA2042941-1010-1_589x860.jpg	https://www.justfab.fr/products/Dimona-Strappy-Block-Heeled-Sandal-DA2042941-1010	"in stock"	"Fashion >> Shoes >> Sandals >> Ankle Strap"	187	new	DA2042941-1010-83120	JustFab	Blanc	43	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/DA2042941-1010/DA2042941-1010-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA2042941-1010/DA2042941-1010-3_589x860.jpg	6	http://us-cdn.justfab.com/media/video/products/DA2042941-8010/DA2042941-8010.mp4	27/02/2023	https://jf-eu-cdn.justfab.com/image/product/DA2042941-1010/DA2042941-1010-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA2042941-1010/DA2042941-1010-6_589x860.jpg							" Composition : simili cuir Hauteur talon approx. : 8,89 cm Les dimensions peuvent légèrement varier Article importé "			"Quantité limitée"	53
FB2045390-0001-83100	12244393	"Bottes épais Ayden"	" Semelle JF Form Foam : deux fois plus épaisse qu'une semelle en mousse classique et un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition : similicuir Hauteur talon approx. : 5,72 cm Hauteur plateforme : 1,85 cm Hauteur tige (pointure 38): 45 cm Tour de mollet (pointure 38): 42 cm Tour de mollet largeur spéciale (pointure 38): 43 cm Largeur spéciale plus ample au niveau du talon, de la semelle et du cou-de-pied Disponible en largeur spéciale Les dimensions peuvent légèrement varier Article importé"	"59.95 €"	"14.99 €"	https://jf-eu-cdn.justfab.com/image/product/FB2045390-0001/FB2045390-0001-1_589x860.jpg	https://www.justfab.fr/products/AYDEN-CHUNKY-BLOCK-HEEL-BOOT-FB2045390-0001-2	"in stock"	"Fashion >> Shoes >> Boots >> Riding"	187	new	FB2045390-0001-83100	JustFab	Noir	41	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/FB2045390-0001/FB2045390-0001-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FB2045390-0001/FB2045390-0001-3_589x860.jpg	62	http://us-cdn.justfab.com/media/video/products/FB2045390-0001/FB2045390-0001.mp4	27/02/2023	https://jf-eu-cdn.justfab.com/image/product/FB2045390-0001/FB2045390-0001-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FB2045390-0001/FB2045390-0001-6_589x860.jpg							" Semelle JF Form Foam : deux fois plus épaisse qu'une semelle en mousse classique et un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition : similicuir Hauteur talon approx. : 5,72 cm Hauteur plateforme : 1,85 cm Hauteur tige (pointure 38): 45 cm Tour de mollet (pointure 38): 42 cm Tour de mollet largeur spéciale (pointure 38): 43 cm Largeur spéciale plus ample au niveau du talon, de la semelle et du cou-de-pied Disponible en largeur spéciale Les dimensions peuvent légèrement varier Article importé "			" "	49
BS2150066-1090-83055	13779943	Pegah	" Semelle JF Form Foam : deux fois plus épaisse qu'une semelle en mousse classique et un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition: Similicuir Les dimensions peuvent légèrement varier Article importé"	"44.95 €"	"11.24 €"	https://jf-eu-cdn.justfab.com/image/product/BS2150066-1090/BS2150066-1090-1_589x860.jpg	https://www.justfab.fr/products/Pegah-Block-Heeled-Bootie-BS2150066-1090	"in stock"	"Fashion >> Shoes >> Boots >> Booties"	187	new	BS2150066-1090-83055	JustFab	"Bright White"	36	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/BS2150066-1090/BS2150066-1090-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2150066-1090/BS2150066-1090-3_589x860.jpg	1	http://us-cdn.justfab.com/media/video/products/BS2150066-1803/BS2150066-1803.mp4	30/03/2023	https://jf-eu-cdn.justfab.com/image/product/BS2150066-1090/BS2150066-1090-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2150066-1090/BS2150066-1090-6_589x860.jpg							" Semelle JF Form Foam : deux fois plus épaisse qu'une semelle en mousse classique et un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition: Similicuir Les dimensions peuvent légèrement varier Article importé "			"Quantité limitée"	34
FT2149900-1533-83055	12361636	"à semelle crantée Leli"	" Avec la semelle en mousse JF Form Foam - Deux fois plus épaisse qu'une semelle en mousse classique et avec un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Matière principale : similicuir Hauteur talon approx. : 5,72 cm Hauteur plateforme : 1,9 cm Les dimensions peuvent légèrement varier Article importé"	"49.95 €"	"12.49 €"	https://jf-eu-cdn.justfab.com/image/product/FT2149900-1533/FT2149900-1533-1_589x860.jpg	https://www.justfab.fr/products/Leli-Chain-Detail-Lug-Sole-Loafer-FT2149900-1533	"in stock"	"Fashion >> Shoes >> Flats >> Loafer"	187	new	FT2149900-1533-83055	JustFab	"Black Caviar"	36	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/FT2149900-1533/FT2149900-1533-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2149900-1533/FT2149900-1533-3_589x860.jpg	26	http://us-cdn.justfab.com/media/video/products/FT2149900-1533/FT2149900-1533.mp4	30/03/2023	https://jf-eu-cdn.justfab.com/image/product/FT2149900-1533/FT2149900-1533-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2149900-1533/FT2149900-1533-6_589x860.jpg							" Avec la semelle en mousse JF Form Foam - Deux fois plus épaisse qu'une semelle en mousse classique et avec un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Matière principale : similicuir Hauteur talon approx. : 5,72 cm Hauteur plateforme : 1,9 cm Les dimensions peuvent légèrement varier Article importé "			"Quantité limitée"	30
BS2041263-0003-83055	11321722	"Bottes Eletra"	" Composition : similicuir, PU Hauteur talon : 6,35 cm Hauteur tige : 16,51 cm Les dimensions peuvent légèrement varier Tige synthétique Semelle synthétique Importées"	"49.95 €"	"12.49 €"	https://jf-eu-cdn.justfab.com/image/product/BS2041263-0003/BS2041263-0003-1_589x860.jpg	https://www.justfab.fr/products/Eletra-Lace-up-Boot-BS2041263-0003	"in stock"	"Fashion >> Shoes >> Boots >> Combat"	187	new	BS2041263-0003-83055	JustFab	Noir	36	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/BS2041263-0003/BS2041263-0003-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2041263-0003/BS2041263-0003-3_589x860.jpg	27	http://us-cdn.justfab.com/media/video/products/BS2041263-0003/BS2041263-0003.mp4	11/01/2023	https://jf-eu-cdn.justfab.com/image/product/BS2041263-0003/BS2041263-0003-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2041263-0003/BS2041263-0003-6_589x860.jpg							" Composition : similicuir, PU Hauteur talon : 6,35 cm Hauteur tige : 16,51 cm Les dimensions peuvent légèrement varier Tige synthétique Semelle synthétique Importées "			"Quantité limitée"	30
BS2149446-0001-83055	12221377	"À Plateforme Chelsea Candide"	" Composition : simili cuir Hauteur talon approx. : 5,08 cm Hauteur plateforme approx. : 3,18 cm Hauteur tige (taille 38) : 19,69 cm Les dimensions peuvent légèrement varier Article importé"	"49.95 €"	"12.49 €"	https://jf-eu-cdn.justfab.com/image/product/BS2149446-0001/BS2149446-0001-1_589x860.jpg	https://www.justfab.fr/products/Candide-Platform-Chelsea-Boot-BS2149446-0001	"in stock"	"Fashion >> Shoes >> Boots >> Moto"	187	new	BS2149446-0001-83055	JustFab	Noir	36	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/BS2149446-0001/BS2149446-0001-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2149446-0001/BS2149446-0001-3_589x860.jpg	80	http://us-cdn.justfab.com/media/video/products/BS2149446-0001/BS2149446-0001.mp4	02/03/2023	https://jf-eu-cdn.justfab.com/image/product/BS2149446-0001/BS2149446-0001-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2149446-0001/BS2149446-0001-6_589x860.jpg							" Composition : simili cuir Hauteur talon approx. : 5,08 cm Hauteur plateforme approx. : 3,18 cm Hauteur tige (taille 38) : 19,69 cm Les dimensions peuvent légèrement varier Article importé "			" "	28
FT2044939-1643-83055	11821591	Danica	" Avec la semelle en mousse JF Form Foam - Deux fois plus épaisse qu'une semelle en mousse classique et avec un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition : simili daim Hauteur talon approx. : 2,5 cm Hauteur plateforme approx. : 1,3 cm Hauteur tige (pour une taille 38) : 6,4 cm Taille plus ample au niveau du talon, de la semelle et cou-de-pied larges Disponible en modèle large Les dimensions peuvent légèrement varier Article importé"	"39.95 €"	"9.99 €"	https://jf-eu-cdn.justfab.com/image/product/FT2044939-1643/FT2044939-1643-1_589x860.jpg	https://www.justfab.fr/products/Danica-Loafer-FT2044939-1643	"in stock"	"Fashion >> Shoes >> Flats >> Loafer"	187	new	FT2044939-1643-83055	JustFab	"Black Mirror"	36	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/FT2044939-1643/FT2044939-1643-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2044939-1643/FT2044939-1643-3_589x860.jpg	9	http://us-cdn.justfab.com/media/video/products/FT2044939-1643/FT2044939-1643.mp4	31/01/2023	https://jf-eu-cdn.justfab.com/image/product/FT2044939-1643/FT2044939-1643-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2044939-1643/FT2044939-1643-6_589x860.jpg							" Avec la semelle en mousse JF Form Foam - Deux fois plus épaisse qu'une semelle en mousse classique et avec un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition : simili daim Hauteur talon approx. : 2,5 cm Hauteur plateforme approx. : 1,3 cm Hauteur tige (pour une taille 38) : 6,4 cm Taille plus ample au niveau du talon, de la semelle et cou-de-pied larges Disponible en modèle large Les dimensions peuvent légèrement varier Article importé "			"Quantité limitée"	25
DA1938399-2130-83060	10032916	"transparents Hanna"	" Composition : similicuir Hauteur talon approx. : 10,16 cm Les dimensions peuvent légèrement varier Importées"	"34.95 €"	"8.74 €"	https://jf-eu-cdn.justfab.com/image/product/DA1938399-2130/DA1938399-2130-1_589x860.jpg	https://www.justfab.fr/products/Hanna-Transparent-Heeled-Sandal-DA1938399-2130	"in stock"	"Fashion >> Shoes >> Sandals >> Ankle Strap"	187	new	DA1938399-2130-83060	JustFab	Beige	36.5	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/DA1938399-2130/DA1938399-2130-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA1938399-2130/DA1938399-2130-3_589x860.jpg	560	http://us-cdn.justfab.com/media/video/products/DA1938399-2130/DA1938399-2130.mp4	02/03/2023	https://jf-eu-cdn.justfab.com/image/product/DA1938399-2130/DA1938399-2130-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA1938399-2130/DA1938399-2130-6_589x860.jpg							" Composition : similicuir Hauteur talon approx. : 10,16 cm Les dimensions peuvent légèrement varier Importées "			" "	22
SK2149129-2400-55360	12056416	Ximena	" Avec la semelle en mousse JF Form Foam - Deux fois plus épaisse qu'une semelle en mousse classique et avec un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition : similicuir Hauteur talon approx. : 7 cm Les dimensions peuvent légèrement varier Article importé"	"44.95 €"	"11.24 €"	https://jf-eu-cdn.justfab.com/image/product/SK2149129-2400/SK2149129-2400-1_589x860.jpg	https://www.justfab.fr/products/Ximena-Sneaker-SK2149129-2400	"in stock"	"Fashion >> Shoes >> Sneakers >> Active"	187	new	SK2149129-2400-55360	JustFab	Beige	36	female	adult	top	https://jf-eu-cdn.justfab.com/image/product/SK2149129-2400/SK2149129-2400-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/SK2149129-2400/SK2149129-2400-3_589x860.jpg	31	http://us-cdn.justfab.com/media/video/products/SK2149129-1010/SK2149129-1010.mp4	11/01/2023	https://jf-eu-cdn.justfab.com/image/product/SK2149129-2400/SK2149129-2400-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/SK2149129-2400/SK2149129-2400-6_589x860.jpg							" Avec la semelle en mousse JF Form Foam - Deux fois plus épaisse qu'une semelle en mousse classique et avec un rebond optimal qui vous apporte du soutien et ne s’aplatit jamais. Composition : similicuir Hauteur talon approx. : 7 cm Les dimensions peuvent légèrement varier Article importé "			"Quantité limitée"	15
