id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	top_sellers	additionnal_image_link__1	additionnal_image_link__2	inventory_count	catwalk_video	release_date	additional_image_link_3	additional_image_link_4	transparent_additional_image_link_1	transparent_additional_image_link_2	transparent_additional_image_link_3	transparent_additional_image_link_4	transparent_additional_image_link_5	short_description	medium_description	curulate_image_url_1	curulate_image_url_2	scarcitymessage	sales_count_conversions_10_days
HS2044927-0001-83065	10798084	Evelyn	" Material: Faux Suede Heel Height: 3.15"" Shaft Height (based on size 8): 14"" Regular Calf Circumference (based on size 8): 16.5"" Extra Wide Calf Circumference (based on size 8): 21.2"" Extra wide width has additional room across the footbed, ball of the foot and instep Extra Wide width + Extra Wide Calf size is available in E fit Measurements will vary slightly Imported"	"499 kr"	"124.75 kr"	https://jf-eu-cdn.justfab.com/image/product/HS2044927-0001/HS2044927-0001-1_589x860.jpg	https://www.justfab.se/products/Evelyn-Heeled-Boot-HS2044927-0001	"in stock"	"Fashion >> Shoes >> Boots >> Heeled Boots"		new	HS2044927-0001-83065	JustFab	Svart	37	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/HS2044927-0001/HS2044927-0001-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2044927-0001/HS2044927-0001-3_589x860.jpg	1	http://us-cdn.justfab.com/media/video/products/HS2044927-0111/HS2044927-0111.mp4	30/09/2021	https://jf-eu-cdn.justfab.com/image/product/HS2044927-0001/HS2044927-0001-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2044927-0001/HS2044927-0001-6_589x860.jpg							" Material: Faux Suede Heel Height: 3.15"" Shaft Height (based on size 8): 14"" Regular Calf Circumference (based on size 8): 16.5"" Extra Wide Calf Circumference (based on size 8): 21.2"" Extra wide width has additional room across the footbed, ball of the foot and instep Extra Wide width + Extra Wide Calf size is available in E fit Measurements will vary slightly Imported "			"Limited Stock"	1
FT2148736-3346-83055	11948407	Abigail	" Featured JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile Heel Height: 0.75"" Measurements will vary slightly Imported"	"299 kr"	"74.75 kr"	https://jf-eu-cdn.justfab.com/image/product/FT2148736-3346/FT2148736-3346-1_589x860.jpg	https://www.justfab.se/products/Abigail-Slip-On-Flat-FT2148736-3346	"in stock"	"Fashion >> Shoes >> Flats >> Mule"	187	new	FT2148736-3346-83055	JustFab	"Natural Raffia"	36	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/FT2148736-3346/FT2148736-3346-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2148736-3346/FT2148736-3346-3_589x860.jpg	2	http://us-cdn.justfab.com/media/video/products/FT2148736-3346/FT2148736-3346.mp4	27/07/2021	https://jf-eu-cdn.justfab.com/image/product/FT2148736-3346/FT2148736-3346-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2148736-3346/FT2148736-3346-6_589x860.jpg							" Featured JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile Heel Height: 0.75"" Measurements will vary slightly Imported "			"Limited Stock"	1
BS2149477-0001-83095	12237877	Vernetta	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 1.25"" Shaft Height (based on size 8): 5.25"" Calf Circumference (based on size 8): 16.5"" Measurements will vary slightly Imported"	"399 kr"	"99.75 kr"	https://jf-eu-cdn.justfab.com/image/product/BS2149477-0001/BS2149477-0001-1_589x860.jpg	https://www.justfab.se/products/Vernetta-Heeled-Bootie-BS2149477-0001	"in stock"	"Fashion >> Shoes >> Boots >> Booties"	187	new	BS2149477-0001-83095	JustFab	Svart	40.5	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/BS2149477-0001/BS2149477-0001-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2149477-0001/BS2149477-0001-3_589x860.jpg	14	http://us-cdn.justfab.com/media/video/products/BS2149477-0001/BS2149477-0001.mp4	31/07/2023	https://jf-eu-cdn.justfab.com/image/product/BS2149477-0001/BS2149477-0001-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/BS2149477-0001/BS2149477-0001-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 1.25"" Shaft Height (based on size 8): 5.25"" Calf Circumference (based on size 8): 16.5"" Measurements will vary slightly Imported "			"Limited Stock"	1
FB2150268-1533-83090	12529186	Demi	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 1.25"" Shaft Height (based on size 8): 18.0"" Regular Calf Circumference (based on size 8): 16.5"" Wide Calf Circumference (based on size 8): 18.5"" Measurements will vary slightly Imported"	"549 kr"	"137.25 kr"	https://jf-eu-cdn.justfab.com/image/product/FB2150268-1533/FB2150268-1533-1_589x860.jpg	https://www.justfab.se/products/Demi-Sherpa-Lined-Fold-Over-Boot-FB2150268-1533	"in stock"	"Fashion >> Shoes >> Boots >> Riding"	187	new	FB2150268-1533-83090	JustFab	"Black Caviar"	40	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/FB2150268-1533/FB2150268-1533-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FB2150268-1533/FB2150268-1533-3_589x860.jpg	2	http://us-cdn.justfab.com/media/video/products/FB2150268-1533/FB2150268-1533.mp4	18/11/2021	https://jf-eu-cdn.justfab.com/image/product/FB2150268-1533/FB2150268-1533-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FB2150268-1533/FB2150268-1533-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 1.25"" Shaft Height (based on size 8): 18.0"" Regular Calf Circumference (based on size 8): 16.5"" Wide Calf Circumference (based on size 8): 18.5"" Measurements will vary slightly Imported "			"Limited Stock"	1
FT2149431-1533-83060	12636505	Bijou	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile Heel Height: 1.0"" Measurements will vary slightly Imported"	"399 kr"	"99.75 kr"	https://jf-eu-cdn.justfab.com/image/product/FT2149431-1533/FT2149431-1533-1_589x860.jpg	https://www.justfab.se/products/Bijou-Pearl-Heeled-Loafer-FT2149431-1533	"in stock"	"Fashion >> Shoes >> Flats >> Loafer"	187	new	FT2149431-1533-83060	JustFab	"Black Caviar"	36.5	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/FT2149431-1533/FT2149431-1533-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2149431-1533/FT2149431-1533-3_589x860.jpg	5	http://us-cdn.justfab.com/media/video/products/FT2149431-1031/FT2149431-1031.mp4	08/12/2021	https://jf-eu-cdn.justfab.com/image/product/FT2149431-1533/FT2149431-1533-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/FT2149431-1533/FT2149431-1533-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile Heel Height: 1.0"" Measurements will vary slightly Imported "			"Limited Stock"	1
HS2150723-1533-83095	12637681	Khloy	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile/ Faux Leather Heel Height: 3.25"" Shaft Height (based on size 8): 22.0"" Calf Circumference (based on size 8): 16.5"" Measurements will vary slightly Imported"	"549 kr"	"137.25 kr"	https://jf-eu-cdn.justfab.com/image/product/HS2150723-1533/HS2150723-1533-1_589x860.jpg	https://www.justfab.se/products/Khloy-Victorian-Lace-Over-The-Knee-Boot-HS2150723-1533	"in stock"	"Fashion >> Shoes >> Boots >> Heeled Boots"		new	HS2150723-1533-83095	JustFab	"Black Caviar"	40.5	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/HS2150723-1533/HS2150723-1533-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2150723-1533/HS2150723-1533-3_589x860.jpg	1	http://us-cdn.justfab.com/media/video/products/HS2150723-1533/HS2150723-1533.mp4	29/12/2021	https://jf-eu-cdn.justfab.com/image/product/HS2150723-1533/HS2150723-1533-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2150723-1533/HS2150723-1533-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile/ Faux Leather Heel Height: 3.25"" Shaft Height (based on size 8): 22.0"" Calf Circumference (based on size 8): 16.5"" Measurements will vary slightly Imported "			"Limited Stock"	1
DA2150712-1533-83095	12638143	Tina	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 4.5"" Platform Height: 1.5"" Measurements will vary slightly Imported"	"429 kr"	"107.25 kr"	https://jf-eu-cdn.justfab.com/image/product/DA2150712-1533/DA2150712-1533-1_589x860.jpg	https://www.justfab.se/products/Tina-Crossover-Platform-Sandal-DA2150712-1533	"in stock"	"Fashion >> Shoes >> Sandals >> Dress + Ankle Strap"	187	new	DA2150712-1533-83095	JustFab	"Black Caviar"	40.5	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/DA2150712-1533/DA2150712-1533-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA2150712-1533/DA2150712-1533-3_589x860.jpg	2	http://us-cdn.justfab.com/media/video/products/DA2150712-1533/DA2150712-1533.mp4	08/12/2021	https://jf-eu-cdn.justfab.com/image/product/DA2150712-1533/DA2150712-1533-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/DA2150712-1533/DA2150712-1533-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 4.5"" Platform Height: 1.5"" Measurements will vary slightly Imported "			"Limited Stock"	1
HS2149884-2600-83060	12805504	Khloy	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 3.0"" Shaft Height (based on size 8): 12.0"" Measurements will vary slightly Imported"	"499 kr"	"124.75 kr"	https://jf-eu-cdn.justfab.com/image/product/HS2149884-2600/HS2149884-2600-1_589x860.jpg	https://www.justfab.se/products/Khloy-Slouch-Stiletto-Boot-HS2149884-2600	"in stock"	"Fashion >> Shoes >> Boots >> Slouch"	187	new	HS2149884-2600-83060	JustFab	Camel	36.5	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/HS2149884-2600/HS2149884-2600-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2149884-2600/HS2149884-2600-3_589x860.jpg	1	http://us-cdn.justfab.com/media/video/products/HS2149884-2458/HS2149884-2458.mp4	29/12/2021	https://jf-eu-cdn.justfab.com/image/product/HS2149884-2600/HS2149884-2600-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2149884-2600/HS2149884-2600-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 3.0"" Shaft Height (based on size 8): 12.0"" Measurements will vary slightly Imported "			"Limited Stock"	1
PP2251380-1780-83095	12948250	Gisselle	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 4.0"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported"	"399 kr"	"99.75 kr"	https://jf-eu-cdn.justfab.com/image/product/PP2251380-1780/PP2251380-1780-1_589x860.jpg	https://www.justfab.se/products/Gisselle-Sling-Back-Pump-PP2251380-1780	"in stock"	"Fashion >> Shoes >> Pumps >> Slingback"	187	new	PP2251380-1780-83095	JustFab	"Black Caviar Micro"	40.5	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/PP2251380-1780/PP2251380-1780-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/PP2251380-1780/PP2251380-1780-3_589x860.jpg	5	http://us-cdn.justfab.com/media/video/products/PP2251380-1888/PP2251380-1888.mp4	28/02/2022	https://jf-eu-cdn.justfab.com/image/product/PP2251380-1780/PP2251380-1780-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/PP2251380-1780/PP2251380-1780-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 4.0"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "			"Limited Stock"	1
HS2147425-0001-83100	13022929	"Ivy Active"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Active Knit Heel Height: 4.0"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported"	"549 kr"	"137.25 kr"	https://jf-eu-cdn.justfab.com/image/product/HS2147425-0001/HS2147425-0001-1_589x860.jpg	https://www.justfab.se/products/Ivy-Active-Knit-Heeled-Boot-HS2147425-0001	"in stock"	"Fashion >> Shoes >> Boots >> Heeled Boots"		new	HS2147425-0001-83100	JustFab	Svart	41	female	adult	1	https://jf-eu-cdn.justfab.com/image/product/HS2147425-0001/HS2147425-0001-2_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2147425-0001/HS2147425-0001-3_589x860.jpg	6	http://us-cdn.justfab.com/media/video/products/HS2147425-0001/HS2147425-0001.mp4	30/03/2022	https://jf-eu-cdn.justfab.com/image/product/HS2147425-0001/HS2147425-0001-4_589x860.jpg	https://jf-eu-cdn.justfab.com/image/product/HS2147425-0001/HS2147425-0001-6_589x860.jpg							" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Active Knit Heel Height: 4.0"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "			"Limited Stock"	1
