id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	color	size	custom_label_0	parent_sku	sales_count_10_days	sales_count_conversions_10_days	release_date	inventory_count	low_stock	sales_count_conversions_1_day	woh	wide_width	wide_calf
FS2354054-2531-84110	14365093	"Hailey Platform Fuzzie"	" Material: Faux Suede Heel Height: 1.5"" Platform Height: 1.5"" Measurements will vary slightly Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FS2354054-2531/FS2354054-2531-2_589x860.jpg	//justfab.com/products/Hailey-Platform-Fuzzie-FS2354054-2531	"in stock"	"Fashion > Shoes > Boots > Fuzzies"	"Light Tan"	11	215	FS2354054-2531	512	215	08/30/2023	1938		26	4.3		
HS2354801-1440-83120	14281963	"Delilah Western Boot"	" Material: Faux Leather Shaft Height: 14.25"" Heel Height: 3.0"" Measurements will vary slightly Closure: Functional Side Zipper Imported "	"$62.95 "	$15.74	https://us-cdn.justfab.com/media/images/products/HS2354801-1440/HS2354801-1440-2_589x860.jpg	//justfab.com/products/Delilah-Western-Boot-HS2354801-1440	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	Bone	12	184	HS2354801-1440	286	184	07/27/2023	570		19	2.4		
DA2146851-0001-83120	11338180	"Noura Heeled Sandal"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 1.75"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/DA1932847-0001/DA1932847-0001-2_589x860.jpg	//justfab.com/products/Noura-Heeled-Sandal-DA1932847-0001	"out of stock"	"Fashion > Shoes > Sandals > Dress + Ankle Strap"	Black	12	149	DA2146851-0001	380	149	04/30/2021	2607		18	"9.8 Wide Width Available"	"Wide Width Available"	
HS2356697-2525-84065	16683001	"Nova Stiletto Boot"	" Padded insole with arch support Material: Nylon Heel Height: 3.25"" Shaft Height (based on size 8): 22.0"" Wide Width has additional room across the footbed, ball of the foot, and instep Wide width + Wide Calf size is available in D fit Closure: Functional Inside Zipper Imported "	"$69.95 "	$17.49	https://us-cdn.justfab.com/media/images/products/HS2356605-2525/HS2356605-2525-2_589x860.jpg	//justfab.com/products/Nova-Stiletto-Boot-HS2356605-2525	"out of stock"	"Fashion > Shoes > Boots > Over the Knee"	Camo	6.5	51	HS2356697-2525	127	51	07/28/2023	953		7	"6.5 Wide Calf Available"		"Wide Calf Available"
DA2147632-2130-88120	11382868	"Hanna Transparent Heeled Sandal"	" Belongs to the JF Core collection—tried, tested & true. Material: PVC Heel Height: 4.0"" Extra wide width has additional room across the footbed, ball of the foot and instep Extra wide width is available in E fit Measurements will vary slightly Imported "	"$19.95 "	$4.99	https://us-cdn.justfab.com/media/images/products/DA1938399-2130/DA1938399-2130-2_589x860.jpg	//justfab.com/products/Hanna-Transparent-Heeled-Sandal-DA1938399-2130	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	Clear	12	42	DA2147632-2130	196	42	07/12/2023	5068		6	"55.7 Wide Width Available"	"Wide Width Available"	
FS2354054-0001-84110	16729106	"Hailey Platform Fuzzie"	" Material: Faux Suede Heel Height: 1.5"" Platform Height: 1.5"" Closure: Slip On Imported. "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FS2354054-0001/FS2354054-0001-2_589x860.jpg	//justfab.com/products/Hailey-Platform-Fuzzie-FS2354054-0001	"in stock"	"Fashion > Shoes > Boots > Fuzzies"	Black	11	39	FS2354054-0001	210	39	08/30/2023	2342		6	15.9		
DA2148172-2400-84120	13616809	"Kenzy Spiral Heeled Sandal"	" Material: Faux Leather/ PVC Heel Height: 4.25"" Measurements will vary slightly Closure: Wrap around strap Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/DA2148172-2400/DA2148172-2400-2_589x860.jpg	//justfab.com/products/Kenzy-Spiral-Heeled-Sandal-DA2148172-2400	"in stock"	"Fashion > Shoes > Sandals > Gladiator"	Beige	12	17	DA2148172-2400	64	17	07/28/2023	910		5	18.6		
FB2357582-0001-83120	15056150	"Addie Western Boot"	" Material: Faux Leather Heel Height: 2.25"" Shaft Height: 11.5"" Measurements will vary slightly Closure: Pull on Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB2357582-0001/FB2357582-0001-2_589x860.jpg	//justfab.com/products/Addie-Western-Boot-FB2357582-0001	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	Black	12	40	FB2357582-0001	153	40	08/30/2023	1219		5	9.7		
HS2356663-0201-84120	16683281	"Bella Heeled Boot"	" Material: Faux Leather Heel Height: 3.75"" Shaft Height (based on size 8): 15.75"" Measurements will vary slightly Closure: Functional Inside Zipper Imported "	"$62.95 "	$15.74	https://us-cdn.justfab.com/media/images/products/HS2356663-0201/HS2356663-0201-2_589x860.jpg	//justfab.com/products/Bella-Heeled-Boot-HS2356663-0201	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	Silver	12	30	HS2356663-0201	68	30	07/28/2023	1902		5	45.3		
DA2147641-0001-88120	11337727	"Lorelai Block Heeled Sandal"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Suede Heel Height: 4"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Fit Note: E-Wide runs large Measurements will vary slightly Closure: Buckle Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/DA2040125-0001/DA2040125-0001-2_589x860.jpg	//justfab.com/products/Lorelai-Block-Heeled-Sandal-DA2040125-0001	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	Black	12	18	DA2147641-0001	149	18	06/29/2023	4244		4	"43.3 Wide Width Available"	"Wide Width Available"	
BS2356698-1010-83120	11957347	"Rosamund Block Heeled Bootie"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Leather Heel Height: 3.5"" Shaft Height: 4.0"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Fit Note: E-Wide runs large Closure: Zipper Measurements will vary slightly Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS1828519-1010/BS1828519-1010-2_589x860.jpg	//justfab.com/products/Rosamund-Block-Heeled-Bootie-BS1828519-1010	"out of stock"	"Fashion > Shoes > Boots > Booties"	White	12	50	BS2356698-1010	159	50	07/28/2023	2857		4	"34 Wide Width Available"	"Wide Width Available"	
PP2146840-2400-84120	14208874	"Annakay Pointed Toe Pump"	" Material: Faux Leather Heel Height: 4.0"" Measurements will vary slightly Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/PP2146840-2400/PP2146840-2400-2_589x860.jpg	//justfab.com/products/Annakay-Pointed-Toe-Pump-PP2146840-2400	"in stock"	"Fashion > Shoes > Pumps > D'Orsay"	Beige	12	20	PP2146840-2400	83	20	07/28/2023	2716		4	32.3		
HS2356571-0001-83120	16541836	"Jolene Stiletto Boot"	" Padded insole with arch support Toe cap detailing Material: Faux Leather/ Faux Suede Heel Height: 3.25"" Shaft Height (based on size 8): 17.5"" Measurements will vary slightly Closure: Functional Inside Zipper Imported "	"$64.95 "	$16.24	https://us-cdn.justfab.com/media/images/products/HS2356571-0001/HS2356571-0001-2_589x860.jpg	//justfab.com/products/Jolene-Stiletto-Boot-HS2356571-0001	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	Black	12	14	HS2356571-0001	51	14	08/15/2023	1531		4	16.8		
HS2356606-3522-84120	16683601	"Farrah Stiletto Boot"	" Material: Stretch Knit Heel Height: 4.0"" Shaft Height (based on size 8): 14.5"" Closure: Pull On Imported "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/HS2356606-3522/HS2356606-3522-2_589x860.jpg	//justfab.com/products/Farrah-Stiletto-Boot-HS2356606-3522	"in stock"	"Fashion > Shoes > Boots > Heeled Boots"	"Brown Logo"	12	36	HS2356606-3522	77	36	07/28/2023	420		4	6.7		
BS2356694-5593-81055	16727751	"Nolan Flat Chelsea Bootie"	" Material: Faux Suede Heel Height: 1.5"" Shaft Height (based on size 8): 4.0"" Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in D fit Closure: Pull On Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/BS2356623-5593/BS2356623-5593-2_589x860.jpg	//justfab.com/products/Nolan-Flat-Chelsea-Bootie-BS2356623-5593	"out of stock"	"Fashion > Shoes > Boots > Booties"	GRAY	5.5	14	BS2356694-5593	165	14	08/30/2023	3934		4	"17.6 Wide Width Available"	"Wide Width Available"	
FB2357323-2010-83120	10810162	"Hally Buckle Boot"	" Material: Faux Leather Heel Height: 1.25"" Platform Height: 1.75"" Wide Width has additional room across the footbed, ball of the foot, and instep? Wide Width + Wide Calf size is available in D fit Shaft Height (based on size 8): 15"" Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/FB1723292-2010/FB1723292-2010-2_589x860.jpg	//justfab.com/products/HALLY-BUCKLE-BOOT-FB1723292-2010	"out of stock"	"Fashion > Shoes > Boots > Riding"	Brown	12	20	FB2357323-2010	93	20	07/28/2023	1368		3	"15 Wide Calf Available"		"Wide Calf Available"
PP2147427-0003-88120	11505163	"Gisselle Classic Pump"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Leather Heel Height: 4.0"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Fit Note: E-Wide runs large Measurements will vary slightly Closure: Slip On Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/PP2044681-0003/PP2044681-0003-2_589x860.jpg	//justfab.com/products/Gisselle-Classic-Pump-PP2044681-0003	"out of stock"	"Fashion > Shoes > Pumps > Classic"	"Black Onyx"	12	18	PP2147427-0003	149	18	05/26/2023	2770		3	"36 Wide Width Available"	"Wide Width Available"	
DA2251410-2110-84120	13617262	"Mazie Heeled Sandal"	" Dream Sole – Double the padding for comfort, support, and ease of movement. Material: Faux Leather/ Textile Heel Height: 5.75"" Platform Height: 1.75"" Measurements will vary slightly Closure: Adjustable Strap Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/DA2251410-2110/DA2251410-2110-2_589x860.jpg	//justfab.com/products/Mazie-Heeled-Sandal-DA2251410-2110	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	Natural	12	6	DA2251410-2110	37	6	04/11/2023	1035		3	37		
FA2147637-2750-88120	14731429	"Cloey Slide Sandal"	"Material: Faux-Leather Heel Height: 0.25"" Extra Wide Width size has extra room across the footbed, ball of the foot and instepWide width size is available in E fitMeasurements will vary slightly Closure: Slip On Imported "	"$19.95 "	$4.99	https://us-cdn.justfab.com/media/images/products/FA2040962-2750/FA2040962-2750-2_589x860.jpg	//justfab.com/products/Cloey-Faux-Leather-Slide-FA2040962-2750	"out of stock"	"Fashion > Shoes > Sandals > Thong + Flip Flop"	WHISKEY	12	13	FA2147637-2750	180	13	06/01/2023	602		3	"5.1 Wide Width Available"	"Wide Width Available"	
