id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	brand	color	size	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	catwalk_video	parent_sku	sales_count_10_days	vip_price	release_date	sales_count_conversions_10_days	half_price	aged_sale_price	sales_count_conversions_1_day	inventory_count
HS2354801-10916-83120	14387284	"Delilah Western Boot"	" Material: Faux Leather Shaft Height: 14.25"" Heel Height: 3.0"" Measurements will vary slightly Closure: Functional Side Zipper Imported "	$74.99	$15.74	https://us-cdn.justfab.com/media/images/products/HS2354801-10916/HS2354801-10916-2_589x860.jpg	https://www.justfab.ca/products/Delilah-Western-Boot-HS2354801-10916	"in stock"	"Fashion > Shoes > Boots > Cowboy and Western"	JustFab			13	34	"Delilah Western Boot"		"mid performer"	https://us-cdn.justfab.com/media/video/products/HS2354801-10916/HS2354801-10916.mp4	HS2354801	34	$62.95	28/02/2023	13	$37.78	$	5	21
PP2149113-5618-83055	14243026	"Daphne Block Heel Pump"	" Belongs to the JF Core collection—tried, tested & true Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 3.5"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Closure: Slip On Imported "	$44.95	$8.24	https://us-cdn.justfab.com/media/images/products/PP2149113-5618/PP2149113-5618-2_589x860.jpg	https://www.justfab.ca/products/Daphne-Block-Heel-Pump-PP2149113-5618	"in stock"	"Fashion > Shoes > Pumps > Classic"	JustFab			11	25	"Daphne Block Heel Pump"		"mid performer"	https://us-cdn.justfab.com/media/video/products/PP2149113-2458/PP2149113-2458.mp4	PP2149113	25	$32.95	31/01/2023	11	$19.77	$	1	12
PP2251504-6448-83065	14388064	"Maya Ankle-Strap Platform Pump"	" Material: Recycled Denim Heel Height: 5.0"" Platform Height: 1.0"" Closure: Adjustable buckle Measurements will vary slightly Imported "	$64.99	$12.49	https://us-cdn.justfab.com/media/images/products/PP2251504-6448/PP2251504-6448-2_589x860.jpg	https://www.justfab.ca/products/Maya-Ankle-Strap-Platform-Pump-PP2251504-6448	"in stock"	"Fashion > Shoes > Pumps > Platform"	JustFab			11	31	"Maya Ankle-Strap Platform Pump"		"mid performer"	https://us-cdn.justfab.com/media/video/products/PP2251504-2600/PP2251504-2600.mp4	PP2251504	31	$49.95	28/02/2023	11	$29.97	$	3	13
FT2150178-1533-83060	12339106	"Sofia Lace-Up Heeled Oxford"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 3.5"" Measurements will vary slightly Imported "	$64.99	$11.24	https://us-cdn.justfab.com/media/images/products/FT2150178-1533/FT2150178-1533-2_589x860.jpg	https://www.justfab.ca/products/Sofia-Lace-Up-Oxford-FT2150178-1533	"in stock"	"Fashion > Shoes > Flats > Oxford"	JustFab			10	31	"Sofia Lace-Up Heeled Oxford"		"mid performer"	https://us-cdn.justfab.com/media/video/products/FT2150178-1533/FT2150178-1533.mp4	FT2150178	31	$44.95	28/02/2023	10	$26.97	$	0	62
SK2041221-6483-83060	14243404	"First Timer Platform Sneaker"	" Belongs to the JF Core collection—tried, tested & true Material: Recycled Canvas Heel Height: 1.5"" Platform Height: 1.5"" Measurements will vary slightly Closure: Adjustable Laces Imported "	$42.95	$8.24	https://us-cdn.justfab.com/media/images/products/SK2041221-6483/SK2041221-6483-2_589x860.jpg	https://www.justfab.ca/products/First-Timer-Platform-Sneaker-SK2041221-6483	"in stock"	"Fashion > Shoes > Sneakers > Low Top"	JustFab			10	45	"First Timer Platform Sneaker"		"mid performer"	https://us-cdn.justfab.com/media/video/products/SK2041221-2458/SK2041221-2458.mp4	SK2041221	45	$32.95	28/02/2023	10	$19.77	$	1	169
FA2354815-1429-83080	14386933	"Suri Flat Slide Sandal"	" Material: Faux Leather Heel Height: 0.5"" Braided strap detail Measurements will vary slightly Closure: Slip On Imported "	$34.95	$6.24	https://us-cdn.justfab.com/media/images/products/FA2354815-1429/FA2354815-1429-2_589x860.jpg	https://www.justfab.ca/products/Suri-Woven-Sandal-FA2354815-1429	"in stock"	"Fashion > Shoes > Sandals > Slide"	JustFab			10	30	"Suri Flat Slide Sandal"		"mid performer"	https://us-cdn.justfab.com/media/video/products/FA2354815-0204/FA2354815-0204.mp4	FA2354815	30	$24.95	28/02/2023	10	$14.97	$	1	143
FA2040962-2640-83075	11511478	"Cloey Faux Leather Slide"	" Featured JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Belongs to the JF Core collection—tried, tested & true Material: Faux Leather Heel Height: 0.5"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "	$29.95	$4.99	https://us-cdn.justfab.com/media/images/products/FA2040962-2640/FA2040962-2640-2_589x860.jpg	https://www.justfab.ca/products/Cloey-Faux-Leather-Slide-FA2040962-2640	"in stock"	"Fashion > Shoes > Sandals > Slide"	JustFab			9	27	"Cloey Faux Leather Slide"		"mid performer"	https://us-cdn.justfab.com/media/video/products/FA2040962-2640/FA2040962-2640.mp4	FA2040962	27	$19.95	31/01/2023	9	$11.97	$	1	234
SK2040221-1533-83055	14242522	"Eloise Platform Sneaker"	" Belongs to the JF Core collection—tried, tested & true Material: Faux Leather Heel Height: 1.5"" Measurements will vary slightly Closure: Slip On Imported "	$39.95	$7.49	https://us-cdn.justfab.com/media/images/products/SK2040221-1533/SK2040221-1533-2_589x860.jpg	https://www.justfab.ca/products/Eloise-Platform-Sneaker-SK2040221-1533	"in stock"	"Fashion > Shoes > Sneakers > Low Top"	JustFab			9	35	"Eloise Platform Sneaker"		"mid performer"	https://us-cdn.justfab.com/media/video/products/SK2040221-7610/SK2040221-7610.mp4	SK2040221	35	$29.95	28/02/2023	9	$17.97	$	5	80
PP2043022-0001-83055	11462701	"Brit Sling-Back Flared Pump"	" New! Padded insole for extra comfort Material: Faux Suede Heel Height: 4.0"" Measurements will vary slightly Imported "	$49.95	$9.99	https://us-cdn.justfab.com/media/images/products/PP2043022-0001/PP2043022-0001-2_589x860.jpg	https://www.justfab.ca/products/Brit-Sling-Back-Flared-Pump-PP2043022-0001	"in stock"	"Fashion > Shoes > Pumps > Slingback"	JustFab			8	30	"Brit Sling-Back Flared Pump"		"mid performer"	https://us-cdn.justfab.com/media/video/products/PP2043022-2153/PP2043022-2153.mp4	PP2043022	30	$39.95	31/01/2023	8	$23.97	$	0	10
FB2150153-0001-83055	12778468	"Reena Over-The-Knee Flat Boot"	"  Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported.   Material: Faux Suede   Heel Height: 1.0""   Shaft Height (based on size 8): 21.0""    Extra wide width has additional room across the footbed, ball of the foot and instep  Extra Wide width + Extra Wide Calf size is available in E fit  Measurements will vary slightly   Imported   "	$49.95	$9.99	https://us-cdn.justfab.com/media/images/products/FB2150153-0001/FB2150153-0001-2_589x860.jpg	https://www.justfab.ca/products/Reena-Over-The-Knee-Flat-Boot-FB2150153-0001	"in stock"	"Fashion > Shoes > Boots > Over the Knee"	JustFab			7	32	"Reena Over-The-Knee Flat Boot"		"mid performer"	https://us-cdn.justfab.com/media/video/products/FB2150153-0001/FB2150153-0001.mp4	FB2150153	32	$39.95	30/01/2023	7	$23.97	$	1	20
