id	item_group_id	title	description	price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	material	pattern	custom_label_2	additional_image_link_0	additional_image_link_1	additional_image_link_3	additional_image_link_4	inventory_count	additional_image_link_2	is_bundle	sales_count_conversions_10_days	release_date
BA2044175-5210-14285	11010913	"Savage Not Sorry Lightly Lined Lace Balconette Bra"	"Our Savage Not Sorry Lightly Lined Lace Balconette Bra features lightly padded cups and new Savage custom-designed stretch lace."	$49.95	https://cdn.savagex.com/media/images/products/BA2044175-5210/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-5210-1-600x800.jpg		https://www.savagex.com/shop/product-11010913	"in stock"	"Fashion > Apparel > Intimates > Bra > Underwire"	214	new	BA2044175-5210-14285	"Savage X Fenty"	Purple	36DDD	female	adult	Lace		"Savage Not Sorry Lightly Lined Lace Balconette Bra"		https://cdn.savagex.com/media/images/products/BA2044175-5210/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-5210-2-600x800.jpg			54405	https://cdn.savagex.com/media/images/products/BA2044175-5210/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-5210-laydown-600x800.jpg	No	298	27/02/2022
BA2146996-5210-14285	13872253	"Floral Lace Unlined Bra"	"An eco-friendly fabric update to our bestselling bra! Our Floral Lace Unlined Bra features floral lace made with 40% REPREVE recycled fibers with the same soft feel and look as our original. "	$34.95	https://cdn.savagex.com/media/images/products/BA2146996-5210/FLORAL-LACE-UNLINED-BRA-BA2146996-5210-1-600x800.jpg		https://www.savagex.com/shop/product-13872253	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2146996-5210-14285	"Savage X Fenty"	Purple	36DDD	female	adult	Lace		"Floral Lace Unlined Bra"		https://cdn.savagex.com/media/images/products/BA2146996-5210/FLORAL-LACE-UNLINED-BRA-BA2146996-5210-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2146996-5210/FLORAL-LACE-UNLINED-BRA-BA2146996-5210-3-600x800.jpg		50626	https://cdn.savagex.com/media/images/products/BA2146996-5210/FLORAL-LACE-UNLINED-BRA-BA2146996-5210-laydown-600x800.jpg	No	178	12/10/2022
SXFSS230140-00	8913070	"Core Basics Bralette 3-Piece Set"		$49.95	https://cdn.savagex.com/media/images/products/SXFSS230140/CORE-BASICS-BRALETTE-3-PIECE-SET-SXFSS230140-1-600x800.jpg		https://www.savagex.com/shop/sets/CORE-BASICS-BRALETTE-3-PIECE-SET-SXFSS230140-14217733	"in stock"	"Fashion > Apparel > Intimates > Sets > All Bralettes"		new	SXFSS230140-00	"Savage X Fenty"	Black/Black/Black/Black/Purple	OSFM	female	adult	Cotton/Mesh		"Core Basics Bralette 3-Piece Set"		https://cdn.savagex.com/media/images/products/SXFSS230140/CORE-BASICS-BRALETTE-3-PIECE-SET-SXFSS230140-2-600x800.jpg	https://cdn.savagex.com/media/images/products/SXFSS230140/CORE-BASICS-BRALETTE-3-PIECE-SET-SXFSS230140-3-600x800.jpg	https://cdn.savagex.com/media/images/products/SXFSS230140/CORE-BASICS-BRALETTE-3-PIECE-SET-SXFSS230140-4-600x800.jpg	45935	https://cdn.savagex.com/media/images/products/SXFSS230140/CORE-BASICS-BRALETTE-3-PIECE-SET-SXFSS230140-laydown-600x800.jpg	Yes	0	06/01/2023
BA2252986-0687-14285	13311193	"Cotton Essentials Unlined Bra"	"Our Cotton Essentials Unlined Bra features scalloped logo lace trim and 2-layer cups for support. "	$29.95	https://cdn.savagex.com/media/images/products/BA2252986-0687/COTTON-ESSENTIALS-UNLINED-BRA-BA2252986-0687-1-600x800.jpg		https://www.savagex.com/shop/product-13311193	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2252986-0687-14285	"Savage X Fenty"	Black	36DDD	female	adult	Cotton		"Cotton Essentials Unlined Bra"					41306	https://cdn.savagex.com/media/images/products/BA2252986-0687/COTTON-ESSENTIALS-UNLINED-BRA-BA2252986-0687-laydown-600x800.jpg	No	139	01/09/2022
SXFSS230139-00	12797335	"Forever Savage Bralette 3-Piece Set"		$49.95	https://cdn.savagex.com/media/images/products/SXFSS230139/FOREVER-SAVAGE-BRALETTE-3-PIECE-SET-SXFSS230139-1-600x800.jpg		https://www.savagex.com/shop/sets/FOREVER-SAVAGE-BRALETTE-3-PIECE-SET-SXFSS230139-14217730	"in stock"	"Fashion > Apparel > Intimates > Sets > All Bralettes"		new	SXFSS230139-00	"Savage X Fenty"	Black/Black/Black/Black/Purple	OSFM	female	adult	Cotton		"Forever Savage Bralette 3-Piece Set"		https://cdn.savagex.com/media/images/products/SXFSS230139/FOREVER-SAVAGE-BRALETTE-3-PIECE-SET-SXFSS230139-2-600x800.jpg	https://cdn.savagex.com/media/images/products/SXFSS230139/FOREVER-SAVAGE-BRALETTE-3-PIECE-SET-SXFSS230139-3-600x800.jpg	https://cdn.savagex.com/media/images/products/SXFSS230139/FOREVER-SAVAGE-BRALETTE-3-PIECE-SET-SXFSS230139-4-600x800.jpg	37535	https://cdn.savagex.com/media/images/products/SXFSS230139/FOREVER-SAVAGE-BRALETTE-3-PIECE-SET-SXFSS230139-laydown-600x800.jpg	Yes	0	25/02/2023
BA2044175-0687-14285	11010979	"Savage Not Sorry Lightly Lined Lace Balconette Bra"	"Our Savage Not Sorry Lightly Lined Lace Balconette Bra features lightly padded cups and new Savage custom-designed stretch lace."	$49.95	https://cdn.savagex.com/media/images/products/BA2044175-0687/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-0687-1-600x800.jpg		https://www.savagex.com/shop/product-11010979	"in stock"	"Fashion > Apparel > Intimates > Bra > Underwire"	214	new	BA2044175-0687-14285	"Savage X Fenty"	Black	36DDD	female	adult	Lace		"Savage Not Sorry Lightly Lined Lace Balconette Bra"					37339	https://cdn.savagex.com/media/images/products/BA2044175-0687/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-0687-laydown-600x800.jpg	No	214	14/07/2022
BA2146996-0687-14120	11516803	"Floral Lace Unlined Bra"	"An eco-friendly fabric update to our bestselling bra! Our Floral Lace Unlined Bra features floral lace made with 40% REPREVE recycled fibers with the same soft feel and look as our original. "	$34.95	https://cdn.savagex.com/media/images/products/BA2146996-0687/FLORAL-LACE-UNLINED-BRA-BA2146996-0687-1-600x800.jpg		https://www.savagex.com/shop/product-11516803	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2146996-0687-14120	"Savage X Fenty"	Black	30C	female	adult	Lace		"Floral Lace Unlined Bra"					32162	https://cdn.savagex.com/media/images/products/BA2146996-0687/FLORAL-LACE-UNLINED-BRA-BA2146996-0687-laydown-600x800.jpg	No	477	12/10/2022
SQ2149122-0159-15140	12096445	"Forever Savage Showgirl Short Robe"	"Our best-selling Forever Savage Short Robe with a Fashion Show Xclusive update. Our newest robe features the same soft feel as our original with an updated graphic Savage X Fenty showgirl logo at back. "	$59.95	https://cdn.savagex.com/media/images/products/SQ2149122-0159/FOREVER-SAVAGE-SHOWGIRL-SHORT-ROBE-SQ2149122-0159-1-600x800.jpg		https://www.savagex.com/shop/product-12096445	"in stock"	"Fashion > Apparel > Intimates > Sleepwear > Robe"	1772	new	SQ2149122-0159-15140	"Savage X Fenty"	GRAY	M/L	female	adult	Cotton		"Forever Savage Showgirl Short Robe"		https://cdn.savagex.com/media/images/products/SQ2149122-0159/FOREVER-SAVAGE-SHOWGIRL-SHORT-ROBE-SQ2149122-0159-2-600x800.jpg	https://cdn.savagex.com/media/images/products/SQ2149122-0159/FOREVER-SAVAGE-SHOWGIRL-SHORT-ROBE-SQ2149122-0159-3-600x800.jpg		31218	https://cdn.savagex.com/media/images/products/SQ2149122-0159/FOREVER-SAVAGE-SHOWGIRL-SHORT-ROBE-SQ2149122-0159-laydown-600x800.jpg	No	9	05/06/2022
SXFSS230138-00	10611175	"Cotton Essentials Bralette 3-Piece Set"		$39.95	https://cdn.savagex.com/media/images/products/SXFSS230138/COTTON-ESSENTIALS-BRALETTE-3-PIECE-SET-SXFSS230138-1-600x800.jpg		https://www.savagex.com/shop/sets/COTTON-ESSENTIALS-BRALETTE-3-PIECE-SET-SXFSS230138-14217727	"in stock"	"Fashion > Apparel > Intimates > Sets > All Bralettes"		new	SXFSS230138-00	"Savage X Fenty"	Black/Black/Black/Purple/Purple	OSFM	female	adult	Cotton		"Cotton Essentials Bralette 3-Piece Set"		https://cdn.savagex.com/media/images/products/SXFSS230138/COTTON-ESSENTIALS-BRALETTE-3-PIECE-SET-SXFSS230138-2-600x800.jpg	https://cdn.savagex.com/media/images/products/SXFSS230138/COTTON-ESSENTIALS-BRALETTE-3-PIECE-SET-SXFSS230138-3-600x800.jpg	https://cdn.savagex.com/media/images/products/SXFSS230138/COTTON-ESSENTIALS-BRALETTE-3-PIECE-SET-SXFSS230138-4-600x800.jpg	30392	https://cdn.savagex.com/media/images/products/SXFSS230138/COTTON-ESSENTIALS-BRALETTE-3-PIECE-SET-SXFSS230138-laydown-600x800.jpg	Yes	0	06/01/2023
BA2036438-0687-14285	9877786	"Core Microfiber T-Shirt Bra"	"It's better than ever! This perfect Core Microfiber T-Shirt Bra is made with high shine microfiber and has a rose gold-tone X charm at the center front with the same fit and comfort as our bestselling original."	$39.95	https://cdn.savagex.com/media/images/products/BA2036438-0687/CORE-MICROFIBER-T-SHIRT-BRA-BA2036438-0687-1-600x800.jpg		https://www.savagex.com/shop/product-9877786	"in stock"	"Fashion > Apparel > Intimates > Bra > T-Shirt"	214	new	BA2036438-0687-14285	"Savage X Fenty"	Black	36DDD	female	adult	Microfiber		"Core Microfiber T-Shirt Bra"		https://cdn.savagex.com/media/images/products/BA2036438-0687/CORE-MICROFIBER-T-SHIRT-BRA-BA2036438-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2036438-0687/CORE-MICROFIBER-T-SHIRT-BRA-BA2036438-0687-3-600x800.jpg		27500	https://cdn.savagex.com/media/images/products/BA2036438-0687/CORE-MICROFIBER-T-SHIRT-BRA-BA2036438-0687-laydown-600x800.jpg	No	1085	23/01/2023
