id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	custom_label_2	parent_sku	vip_price	sales_count_conversions_10_days	sales_count_10_days	half_price	aged_saleprice	imagecrawler_http	release_date	inventory_count	inventory2	low_stock	sales_count_conversions_1_day	additional_image_link_2	additional_image_link_3	additional_image_link_4	product_sku
WE2041078-2130-84055	10080049	"Yulanda Jeweled Gladiator Wedge"	"An ultra-high wedge featuring clear straps, jewel embellishments, decorative buckles, and back zipper closure."	$86.95	$59.95	https://static3.sd-assets.com/assets/images/001/248/731/YULANDA-WE2041078-2130_D_FOOT-original.jpg	https://static3.sd-assets.com/assets/images/001/248/728/YULANDA-WE2041078-2130_A_FRONT-HERO-original.jpg	https://www.shoedazzle.com/products/YULANDA-WE2041078-2130	"in stock"	"Fashion > Shoes > Sandals > Gladiator"	187	new	WE2041078-2130-84055	ShoeDazzle	Beige	5.5	female	adult	"YULANDA JEWELED GLADIATOR WEDGE"	WE2041078-2130	$59.95	480	710	$29.98	$23.98		03/30/2021	2583	134		63	https://static3.sd-assets.com/assets/images/001/248/729/YULANDA-WE2041078-2130_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/266/626/YULANDA-WE2041078-2130_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/248/730/YULANDA-WE2041078-2130_C_B3Q-original.jpg	WE2041078-2130
DA1826045-2130-84055	6348862	"Charlotte Jeweled Gladiator Sandal"	"Jeweled heeled gladiator sandal with clear panel detail and back zip closure."	$72.95	$49.95	https://static3.sd-assets.com/assets/images/001/246/682/CHARLOTTE-DA1826045-2130_A_SIDE-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/246/685/CHARLOTTE-DA1826045-2130_C_B3Q-original.jpg	https://www.shoedazzle.com/products/CHARLOTTE-DA1826045-2130	"in stock"	"Fashion > Shoes > Sandals > Gladiator"	187	new	DA1826045-2130-84055	ShoeDazzle	Beige	5.5	female	adult	"CHARLOTTE JEWELED GLADIATOR SANDAL"	DA1826045-2130	$49.95	393	664	$24.98	$19.98		03/17/2021	844	56		41	https://static3.sd-assets.com/assets/images/001/245/798/CHARLOTTE-DA1826045-2130_D_FOOT-original.jpg	https://static3.sd-assets.com/assets/images/001/141/092/CHARLOTTE-DA1826045-2130_E_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/246/683/CHARLOTTE-DA1826045-2130_E_Content1-original.jpg	DA1826045-2130
FA1511102-2400-84055	11499697	"Delisa Embellished Thong Sandal"	"A slip-on embellished flat thong sandal."	$64.95	$44.95	https://static3.sd-assets.com/assets/images/001/268/629/DELISA-FA1511102-2400_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/630/DELISA-FA1511102-2400_B_F3Q-original.jpg	https://www.shoedazzle.com/products/DELISA-FA1511102-2400	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA1511102-2400-84055	ShoeDazzle	Beige	5.5	female	adult	"DELISA EMBELLISHED THONG SANDAL"	FA1511102-2400	$44.95	233	586	$22.48	$17.98		03/30/2021	1666	69		23	https://static3.sd-assets.com/assets/images/001/268/631/DELISA-FA1511102-2400_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/268/632/DELISA-FA1511102-2400_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/268/633/DELISA-FA1511102-2400_C_Content3-original.jpg	FA1511102-2400
FA2042681-0001-84055	11502565	"Aminta Stretchy Thong Sandal"	"A slip-on flat thong espadrille sandal with a stretch-to-fit ankle strap."	$46.95	$29.95	https://static3.sd-assets.com/assets/images/001/268/602/AMINTA-FA2042681-0001_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/603/AMINTA-FA2042681-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/AMINTA-FA2042681-0001	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA2042681-0001-84055	ShoeDazzle	Black	5.5	female	adult	"AMINTA STRETCHY THONG SANDAL"	FA2042681-0001	$29.95	181	571	$14.98	$11.98		04/13/2021	3547	77		20	https://static3.sd-assets.com/assets/images/001/268/604/AMINTA-FA2042681-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/268/605/AMINTA-FA2042681-0001_D_FOOT-original.jpg		FA2042681-0001
DA2042234-2640-84055	10210675	"Roselinda Wraparound Strappy Sandal"	"A sandal with a high block heel and wraparound ankle straps with a buckle closure."	$62.95	$44.95	https://static3.sd-assets.com/assets/images/001/250/574/ROSELINDA-DA2042234-2640_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/250/575/ROSELINDA-DA2042234-2640_B_F3Q-original.jpg	https://www.shoedazzle.com/products/ROSELINDA-DA2042234-2640	"in stock"	"Fashion > Shoes > Sandals > Strappy"	187	new	DA2042234-2640-84055	ShoeDazzle	COGNAC	5.5	female	adult	"ROSELINDA WRAPAROUND STRAPPY SANDAL"	DA2042234-2640	$44.95	293	548	$22.48	$17.98		03/30/2021	1577	49		35	https://static3.sd-assets.com/assets/images/001/250/576/ROSELINDA-DA2042234-2640_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/253/547/ROSELINDA-DA2042234-2640_D_FOOT-original.jpg		DA2042234-2640
DA2043527-2130-84055	11393470	"Nephele Clear Heeled Sandal"	"A slip-on sandal with a clear strap and block heel."	$62.95	$42.95	https://static3.sd-assets.com/assets/images/001/267/258/NEPHELE-DA2043527-2130_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/267/259/NEPHELE-DA2043527-2130_B_F3Q-original.jpg	https://www.shoedazzle.com/products/NEPHELE-DA2043527-2130	"in stock"	"Fashion > Shoes > Sandals > Mule"	187	new	DA2043527-2130-84055	ShoeDazzle	Beige	5.5	female	adult	"NEPHELE CLEAR HEELED SANDAL"	DA2043527-2130	$42.95	277	519	$21.48	$17.18		02/25/2021	1903	134		25	https://static3.sd-assets.com/assets/images/001/267/260/NEPHELE-DA2043527-2130_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/261/NEPHELE-DA2043527-2130_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/267/262/NEPHELE-DA2043527-2130_C_CONTENT2-original.jpg	DA2043527-2130
DA2045779-2400-84055	10784557	"I See You Clear Jeweled Heeled Sandal"	"Rita Ora x Shoedazzle A clear embellished sandal with a block heel and side buckle closure."	$64.95	$39.95	https://static3.sd-assets.com/assets/images/001/259/010/I-SEE-YOU-DA2045779-2400_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/257/633/I-SEE-YOU-DA2045779-2400_B_F3Q-original.jpg	https://www.shoedazzle.com/products/I-SEE-YOU-DA2045779-2400	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"		new	DA2045779-2400-84055	ShoeDazzle	Beige	5.5	female	adult	"I SEE YOU CLEAR JEWELED HEELED SANDAL"	DA2045779-2400	$39.95	130	510	$19.98	$15.98		02/26/2021	3891	126		10	https://static3.sd-assets.com/assets/images/001/257/634/I-SEE-YOU-DA2045779-2400_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/259/621/I-SEE-YOU-DA2045779-2400_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/259/011/I-SEE-YOU-DA2045779-2400_D_Foot-original.jpg	DA2045779-2400
FA1721503-0201-84055	11393695	"Terena Flat Sandal"	"A glam embellished flat thong sandal with rhinestone bow detail and adjustable buckle."	$62.95	$42.95	https://static3.sd-assets.com/assets/images/001/267/268/TERENA-FA1721503-0201_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/267/269/TERENA-FA1721503-0201_B_F3Q-original.jpg	https://www.shoedazzle.com/products/TERENA-FA1721503-0201	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA1721503-0201-84055	ShoeDazzle	SILVER	5.5	female	adult	"TERENA FLAT SANDAL"	FA1721503-0201	$42.95	241	505	$21.48	$17.18		04/13/2021	2851	66		22	https://static3.sd-assets.com/assets/images/001/267/270/TERENA-FA1721503-0201_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/271/TERENA-FA1721503-0201_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/267/272/TERENA-FA1721503-0201_C_Content2-original.jpg	FA1721503-0201
DA2147581-2400-84055	11391352	"Rough Around The Edges Chain Detail"	"Rita Ora x Shoedazzle A slip-on sandal featuring a stiletto heel and chain detail on the straps."	$62.95	$42.95	https://static3.sd-assets.com/assets/images/001/267/544/ROUGH-AROUND-THE-EDGES-DA2147581-2400_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/267/545/ROUGH-AROUND-THE-EDGES-DA2147581-2400_B_F3Q-original.jpg	https://www.shoedazzle.com/products/ROUGH-AROUND-THE-EDGES-DA2147581-2400	"in stock"	"Fashion > Shoes > Sandals > Mule"	187	new	DA2147581-2400-84055	ShoeDazzle	Beige	5.5	female	adult	"ROUGH AROUND THE EDGES CHAIN DETAIL DOUBLE STRAP SANDAL"	DA2147581-2400	$42.95	113	497	$21.48	$17.18		03/22/2021	679	32		13	https://static3.sd-assets.com/assets/images/001/267/546/ROUGH-AROUND-THE-EDGES-DA2147581-2400_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/547/ROUGH-AROUND-THE-EDGES-DA2147581-2400_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/267/548/ROUGH-AROUND-THE-EDGES-DA2147581-2400_C_Content4-original.jpg	DA2147581-2400
FT2042291-2110-84055	10209940	"Daphney Slip On Flat"	"A slip-on espadrille flat with jewel embellishments."	$46.95	$32.95	https://static3.sd-assets.com/assets/images/001/251/644/DAPHNEY-FT2042291-2110_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/250/471/DAPHNEY-FT2042291-2110_B_F3Q-original.jpg	https://www.shoedazzle.com/products/DAPHNEY-FT2042291-2110	"in stock"	"Fashion > Shoes > Flats > Mule"	187	new	FT2042291-2110-84055	ShoeDazzle	NATURAL	5.5	female	adult	"DAPHNEY SLIP ON FLAT"	FT2042291-2110	$32.95	46	421	$16.48	$13.18		04/13/2021	745	21		9	https://static3.sd-assets.com/assets/images/001/250/472/DAPHNEY-FT2042291-2110_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/251/381/DAPHNEY-FT2042291-2110_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/251/665/DAPHNEY-FT2042291-2110_C_Content1-original.jpg	FT2042291-2110
DA2147496-8010-84055	11498917	"Naavah Ankle Tie Heeled Sandal"	"A heeled sandal featuring a transparent strap and wraparound ankle ties."	$59.95	$39.95	https://static3.sd-assets.com/assets/images/001/268/774/NAAVAH-DA2147496-8010_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/775/NAAVAH-DA2147496-8010_B_F3Q-original.jpg	https://www.shoedazzle.com/products/NAAVAH-DA2147496-8010	"in stock"	"Fashion > Shoes > Sandals > Lace-Up"		new	DA2147496-8010-84055	ShoeDazzle	Orange	5.5	female	adult	"NAAVAH ANKLE TIE HEELED SANDAL"	DA2147496-8010	$39.95	175	409	$19.98	$15.98		03/30/2021	331	32		13	https://static3.sd-assets.com/assets/images/001/268/776/NAAVAH-DA2147496-8010_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/269/649/NAAVAH-DA2147496-8010_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/268/777/NAAVAH-DA2147496-8010_D_FOOT-original.jpg	DA2147496-8010
DA2147669-0204-84055	11499112	"Nicolla Transparent Stiletto Sandal"	"A transparent heeled sandal featuring a high stiletto heel, chain detail, and side buckle closure."	$59.95	$39.95	https://static3.sd-assets.com/assets/images/001/269/006/NICOLLA-DA2147669-0204_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/269/007/NICOLLA-DA2147669-0204_B_F3Q-original.jpg	https://www.shoedazzle.com/products/NICOLLA-DA2147669-0204	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"		new	DA2147669-0204-84055	ShoeDazzle	GOLD	5.5	female	adult	"NICOLLA TRANSPARENT STILETTO SANDAL"	DA2147669-0204	$39.95	189	397	$19.98	$15.98		03/30/2021	556	29		20	https://static3.sd-assets.com/assets/images/001/269/008/NICOLLA-DA2147669-0204_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/269/009/NICOLLA-DA2147669-0204_D_FOOT-original.jpg	https://static3.sd-assets.com/assets/images/001/269/629/NICOLLA-DA2147669-0204_D_Content1-original.jpg	DA2147669-0204
FA1721503-0204-84055	11393770	"Terena Flat Sandal"	"A glam embellished flat thong sandal with rhinestone bow detail and adjustable buckle."	$62.95	$42.95	https://static3.sd-assets.com/assets/images/001/267/277/TERENA-FA1721503-0204_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/267/278/TERENA-FA1721503-0204_B_F3Q-original.jpg	https://www.shoedazzle.com/products/TERENA-FA1721503-0204	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA1721503-0204-84055	ShoeDazzle	GOLD	5.5	female	adult	"TERENA FLAT SANDAL"	FA1721503-0204	$42.95	181	380	$21.48	$17.18		04/13/2021	3335	91		16	https://static3.sd-assets.com/assets/images/001/267/279/TERENA-FA1721503-0204_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/280/TERENA-FA1721503-0204_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/267/281/TERENA-FA1721503-0204_C_Content2-original.jpg	FA1721503-0204
SK2147662-1010-84055	11501347	"Jakalyn Flatform Sneaker"	"A slip-on flatform sneaker with a side zipper detail."	$59.95	$39.95	https://static3.sd-assets.com/assets/images/001/268/951/JAKALYN-SK2147662-1010_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/952/JAKALYN-SK2147662-1010_B_F3Q-original.jpg	https://www.shoedazzle.com/products/JAKALYN-SK2147662-1010	"in stock"	"Fashion > Shoes > Sneakers > Slip-On"	187	new	SK2147662-1010-84055	ShoeDazzle	White	5.5	female	adult	"JAKALYN FLATFORM SNEAKER"	SK2147662-1010	$39.95	105	365	$19.98	$15.98		03/30/2021	970	17		11	https://static3.sd-assets.com/assets/images/001/268/953/JAKALYN-SK2147662-1010_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/268/954/JAKALYN-SK2147662-1010_C_CONTENT4-original.jpg	https://static3.sd-assets.com/assets/images/001/268/955/JAKALYN-SK2147662-1010_D_FOOT-original.jpg	SK2147662-1010
WE2147723-0001-84055	11501659	"Ailya Thong Wedge Sandal"	"A slip-on wedge thong sandal with a stretchy slingback strap."	$59.95	$39.95	https://static3.sd-assets.com/assets/images/001/268/646/AILYA-WE2147723-0001_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/647/AILYA-WE2147723-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/AILYA-WE2147723-0001	"in stock"	"Fashion > Shoes > Sandals > Espadrille"	187	new	WE2147723-0001-84055	ShoeDazzle	Black	5.5	female	adult	"AILYA THONG WEDGE SANDAL"	WE2147723-0001	$39.95	81	358	$19.98	$15.98		03/30/2021	2210	166		8	https://static3.sd-assets.com/assets/images/001/268/648/AILYA-WE2147723-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/268/649/AILYA-WE2147723-0001_D_FOOT-original.jpg		WE2147723-0001
