id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	custom_label_2	parent_sku	vip_price	sales_count_conversions_10_days	sales_count_10_days	half_price	aged_saleprice	imagecrawler_http	release_date	inventory_count	inventory2	sales_count_conversions_1_day	additional_image_link_2	additional_image_link_3	additional_image_link_4	low_stock	product_sku
MC2356437-10988-44060	14585911	"LANA BRIEF CLASSIC (Trio Set)"	"Lace forever! This trio of briefs, created in luxurious green, beige or ivory DORINA ECO all-over lace, offer a perfect reason to feel sensual and beautiful every day."	$24.95	$6.24	https://static3.sd-assets.com/assets/images/001/324/525/LANA-BRIEF-CLASSIC-MC2356437-10988_E_CONTENT5-original.jpg	https://static3.sd-assets.com/assets/images/001/324/525/LANA-BRIEF-CLASSIC-MC2356437-10988_E_CONTENT5-original.jpg	https://www.shoedazzle.com/products/LANA-BRIEF-CLASSIC-MC2356437-10988	"in stock"	"Fashion > Clothing > Intimates > Underwear"		new	MC2356437-10988-44060	ShoeDazzle	GREEN/BEIGE/IVORY	XXL	female		"LANA BRIEF CLASSIC (Trio Set)"	MC2356437-10988	$24.95	11	27	$12.48	$9.98		07/27/2023	425	27	2	https://static3.sd-assets.com/assets/images/001/324/520/LANA-BRIEF-CLASSIC-MC2356437-10988_E_CONTENT4-original.jpg	https://static3.sd-assets.com/assets/images/001/305/490/LANA-BRIEF-CLASSIC-MC2356437-10988_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/305/730/LANA-BRIEF-CLASSIC-MC2356437-10988_B_Back-original.jpg		MC2356437-10988
MC2252066-10739-44060	12666826	"LANA BRIEF CLASSIC (Three-Pack)"	"Lace forever! This trio of briefs, created in luxurious green, beige or ivory DORINA ECO all-over lace, offer a perfect reason to feel sensual and beautiful every day."	$24.95	$6.24	https://static3.sd-assets.com/assets/images/001/294/777/LANA-BRIEF-CLASSIC-MC2252066-10739_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/294/777/LANA-BRIEF-CLASSIC-MC2252066-10739_A_FRONT-HERO-original.jpg	https://www.shoedazzle.com/products/LANA-BRIEF-CLASSIC-MC2252066-10739	"out of stock"	"Fashion > Clothing > Loungewear > Bottoms"		new	MC2252066-10739-44060	ShoeDazzle	CORAL/BEIGE/BLACK	XXL	female		"LANA BRIEF CLASSIC (Three-Pack)"	MC2252066-10739	$24.95	8	21	$12.48	$9.98		07/27/2023	494	0	0	"https://static3.sd-assets.com/assets/images/001/281/399/LANA-BRIEF CLASSIC-MC2252066-10739_B_BACK-original.jpg"	https://static3.sd-assets.com/assets/images/001/294/778/LANA-BRIEF-CLASSIC-MC2252066-10739_C_CONTENT2-original.jpg	https://static3.sd-assets.com/assets/images/001/294/779/LANA-BRIEF-CLASSIC-MC2252066-10739_C_CONTENT3-original.jpg		MC2252066-10739
MC2151074-0039-44060	12077908	"SUZANNE HIGH-RISE BRIEF TWO-PACK"	"A set of classic briefs with a high-rise elasticized waistband."	$16.95	$4.24	https://static3.sd-assets.com/assets/images/001/273/869/SUZANNE-HIGH-RISE-BRIEF-TWO-PACK-MC2151074-0039_E_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/273/869/SUZANNE-HIGH-RISE-BRIEF-TWO-PACK-MC2151074-0039_E_Content3-original.jpg	https://www.shoedazzle.com/products/SUZANNE-HIGH-RISE-BRIEF-TWO-PACK-MC2151074-0039	"in stock"	"Fashion > Clothing > Loungewear > Bottoms"		new	MC2151074-0039-44060	ShoeDazzle	BLACK/WHITE	XXL	female		"SUZANNE HIGH-RISE BRIEF TWO-PACK"	MC2151074-0039	$16.95	6	21	$8.48	$6.78		07/27/2023	4807	456	0	https://static3.sd-assets.com/assets/images/001/273/870/SUZANNE-HIGH-RISE-BRIEF-TWO-PACK-MC2151074-0039_E_Content4-original.jpg	https://static3.sd-assets.com/assets/images/001/273/871/SUZANNE-HIGH-RISE-BRIEF-TWO-PACK-MC2151074-0039_E_CONTENT5-original.jpg	https://static3.sd-assets.com/assets/images/001/273/872/SUZANNE-HIGH-RISE-BRIEF-TWO-PACK-MC2151074-0039_E_CONTENT6-original.jpg		MC2151074-0039
CA2253064-2559-44060	16687191	"Faux Suede Moto Jacket"		$59.95	$14.99	https://static3.sd-assets.com/assets/images/001/363/821/Faux-Suede-Moto-Jacket-CA2253064-2559_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/363/821/Faux-Suede-Moto-Jacket-CA2253064-2559_B_Back-original.jpg	https://www.shoedazzle.com/products/Faux-Suede-Moto-Jacket-CA2253064-2559	"out of stock"	"Fashion > Clothing > Jackets & Coats > Moto"		new	CA2253064-2559-44060	ShoeDazzle	"Roasted Pecan"	XXL	female		"Faux Suede Moto Jacket"	CA2253064-2559	$59.95	6	45	$29.98	$23.98		07/28/2023	75	-1	0	https://static3.sd-assets.com/assets/images/001/363/941/Faux-Suede-Moto-Jacket-CA2253064-2559_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/364/231/Faux-Suede-Moto-Jacket-CA2253064-2559_C_Content1-original.jpg		"LOW IN STOCK"	CA2253064-2559
DE2147359-0687-77030	14066977	"Plus Size City Blazer"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/307/760/Plus-Size-City-Blazer-DE2147359-0687_B_BackPLUS-original.jpg	https://static3.sd-assets.com/assets/images/001/307/760/Plus-Size-City-Blazer-DE2147359-0687_B_BackPLUS-original.jpg	https://www.shoedazzle.com/products/Plus-Size-City-Blazer-DE2147359-0687	"in stock"	"Fashion > Clothing > Jackets & Coats > Blazer"	5598	new	DE2147359-0687-77030	ShoeDazzle	"BLACK CAVIAR"	3X	female		"Plus Size City Blazer"	DE2147359-0687	$49.95	5	12	$24.98	$19.98		11/03/2022	532	233	0	https://static3.sd-assets.com/assets/images/001/307/755/Plus-Size-City-Blazer-DE2147359-0687_E_Model-original.jpg				DE2147359-0687
PO2354829-6457-44060	14619418	"Sweater Tank Top"		$29.95	$7.49	https://static3.sd-assets.com/assets/images/001/317/980/SWEATER-TANK-TOP-PO2354829-6457_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/317/980/SWEATER-TANK-TOP-PO2354829-6457_B_Back-original.jpg	https://www.shoedazzle.com/products/SWEATER-TANK-TOP-PO2354829-6457	"in stock"	"Fashion > Clothing > Tops > Tank"	212	new	PO2354829-6457-44060	ShoeDazzle	"Sea Fog"	XXL	female		"Sweater Tank Top"	PO2354829-6457	$29.95	5	9	$14.98	$11.98		05/26/2023	132	34	0	https://static3.sd-assets.com/assets/images/001/317/775/SWEATER-TANK-TOP-PO2354829-6457_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/317/805/SWEATER-TANK-TOP-PO2354829-6457_C_Content1-original.jpg		"LOW IN STOCK"	PO2354829-6457
CA2356953-3152-99250	16546431	"Utility Twill Jacket"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/358/041/Utility-Twill-Jacket-CA2356953-3152_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/358/041/Utility-Twill-Jacket-CA2356953-3152_B_Back-original.jpg	https://www.shoedazzle.com/products/Utility-Twill-Jacket-CA2356953-3152	"out of stock"	"Fashion > Clothing > Jackets & Coats > Bomber"	5598	new	CA2356953-3152-99250	ShoeDazzle	"Green Camo Multi"	XXL	female		"Utility Twill Jacket"	CA2356953-3152	$49.95	5	30	$24.98	$19.98		08/16/2023	268	0	0	https://static3.sd-assets.com/assets/images/001/358/976/Utility-Twill-Jacket-CA2356953-3152_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/358/051/Utility-Twill-Jacket-CA2356953-3152_C_Content1-original.jpg			CA2356953-3152
KT2356516-3843-99250	16546571	"Burnout Long Sleeve Top"		$19.95	$4.99	https://static3.sd-assets.com/assets/images/001/358/076/Burnout-Long-Sleeve-Top-KT2356516-3843_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/358/076/Burnout-Long-Sleeve-Top-KT2356516-3843_B_Back-original.jpg	https://www.shoedazzle.com/products/Burnout-Long-Sleeve-Top-KT2356516-3843	"in stock"	"Fashion > Clothing > Tops > Blouse"	212	new	KT2356516-3843-99250	ShoeDazzle	"Black Caviar"	XXL	female		"Burnout Long Sleeve Top"	KT2356516-3843	$19.95	5	23	$9.98	$7.98		07/28/2023	264	13	1	https://static3.sd-assets.com/assets/images/001/357/976/Burnout-Long-Sleeve-Top-KT2356516-3843_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/358/316/Burnout-Long-Sleeve-Top-KT2356516-3843_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/366/226/Burnout-Long-Sleeve-Top-KT2356516-3843_E_CONTENT2-original.jpg		KT2356516-3843
CA2356530-0687-44060	16686701	"Faux Leather Fringe Jacket"		$62.95	$15.74	https://static3.sd-assets.com/assets/images/001/359/551/Faux-Leather-Fringe-Jacket-CA2356530-0687_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/359/551/Faux-Leather-Fringe-Jacket-CA2356530-0687_B_Back-original.jpg	https://www.shoedazzle.com/products/Faux-Leather-Fringe-Jacket-CA2356530-0687	"in stock"	"Fashion > Clothing > Jackets & Coats > Leather"	5598	new	CA2356530-0687-44060	ShoeDazzle	"Black Caviar"	XXL	female		"Faux Leather Fringe Jacket"	CA2356530-0687	$62.95	5	22	$31.48	$25.18		07/27/2023	677	89	0	https://static3.sd-assets.com/assets/images/001/359/636/Faux-Leather-Fringe-Jacket-CA2356530-0687_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/359/536/Faux-Leather-Fringe-Jacket-CA2356530-0687_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/359/611/Faux-Leather-Fringe-Jacket-CA2356530-0687_C_Content1-original.jpg		CA2356530-0687
WT2356538-2820-44060	16687281	"Faux Leather Men's Shirt"		$52.95	$13.24	https://static3.sd-assets.com/assets/images/001/364/346/Faux-Leather-Mens-Shirt-WT2356538-2820_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/364/346/Faux-Leather-Mens-Shirt-WT2356538-2820_B_Back-original.jpg	https://www.shoedazzle.com/products/Faux-Leather-Mens-Shirt-WT2356538-2820	"in stock"	"Fashion > Clothing > Jackets & Coats > Leather"	5598	new	WT2356538-2820-44060	ShoeDazzle	Coffee	XXL	female		"Faux Leather Men's Shirt"	WT2356538-2820	$52.95	5	27	$26.48	$21.18		07/28/2023	276	1	0	https://static3.sd-assets.com/assets/images/001/364/261/Faux-Leather-Mens-Shirt-WT2356538-2820_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/363/916/Faux-Leather-Mens-Shirt-WT2356538-2820_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/364/071/Faux-Leather-Mens-Shirt-WT2356538-2820_C_Content1-original.jpg		WT2356538-2820
